"gene"	"DiagnosisMutCt"	"DiagnosisMutFreq"	"CR1mutCt"	"CR1mutFreq"	"Rel1MutCt"	"Rel1MutFreq"	"Ref1MutCt"	"Ref1MutFreq"	"CR2mutCt"	"CR2mutFreq"	"Rel2MutCt"	"Rel2MutFreq"	"Ref2MutCt"	"Ref2MutFreq"	"CR1_2mutCt"	"CR1_2mutFreq"	"Rel1_2MutCt"	"Rel1_2MutFreq"	"Ref1_2MutCt"	"Ref1_2MutFreq"	"fisher.diag_cr1"	"fisher.diag_cr1.nlp"	"fisher.cr1_rel1"	"fisher.cr1_rel1.nlp"	"fisher.diag_rel1"	"fisher.diag_rel1.nlp"	"fisher.ref1_rel1"	"fisher.ref1_rel1.nlp"
"FLT3"	70	38.4615384615385	9	7.56302521008403	34	44.7368421052632	12	44.4444444444444	4	0.2	5	0.384615384615385	1	0.25	13	0.0935251798561151	39	0.438202247191011	13	0.419354838709677	5.97755366983683e-10	9.22347651585471	2.13582642799403e-09	8.67043404397837	0.403839241058935	0	1	0
"DNMT3A"	58	31.8681318681319	30	25.2100840336134	23	30.2631578947368	3	11.1111111111111	3	0.15	4	0.307692307692308	1	0.25	33	0.237410071942446	27	0.303370786516854	4	0.129032258064516	0.244229832109043	0	0.50968030556143	0	0.883328724111278	0	0.0698743519733095	0
"NPM1"	58	31.8681318681319	2	1.68067226890756	27	35.5263157894737	3	11.1111111111111	3	0.15	4	0.307692307692308	1	0.25	5	0.0359712230215827	31	0.348314606741573	4	0.129032258064516	2.19367345656973e-12	11.6588280196804	6.32333559212441e-11	10.1990537686944	0.565011864863947	0	0.0248422183873424	1.6048096246644
"TET2"	38	20.8791208791209	22	18.4873949579832	16	21.0526315789474	5	18.5185185185185	2	0.1	2	0.153846153846154	1	0.25	24	0.172661870503597	18	0.202247191011236	6	0.193548387096774	0.659827575200104	0	0.712312414748563	0	1	0	1	0
"IDH2"	30	16.4835164835165	13	10.9243697478992	10	13.1578947368421	3	11.1111111111111	3	0.15	1	0.0769230769230769	1	0.25	16	0.115107913669065	11	0.123595505617978	4	0.129032258064516	0.23801880635867	0	0.654476364672911	0	0.574732129255401	0	1	0
"ASXL1"	23	12.6373626373626	15	12.6050420168067	11	14.4736842105263	4	14.8148148148148	0	0	1	0.0769230769230769	1	0.25	15	0.107913669064748	12	0.134831460674157	5	0.161290322580645	1	0	0.829410342812808	0	0.689840373969782	0	1	0
"NRAS"	22	12.0879120879121	2	1.68067226890756	4	5.26315789473684	1	3.7037037037037	0	0	1	0.0769230769230769	1	0.25	2	0.0143884892086331	5	0.0561797752808989	2	0.0645161290322581	0.000782476482549799	3.10652870637236	0.210809982965626	0	0.114965897322013	0	1	0
"chr8gain"	19	10.4395604395604	2	1.68067226890756	3	3.94736842105263	1	3.7037037037037	0	0	0	0	0	0	2	0.0143884892086331	3	0.0337078651685393	1	0.032258064516129	0.0025036747561427	2.60142208951387	0.379771358759139	0	0.139754684215191	0	1	0
"SRSF2"	14	7.69230769230769	9	7.56302521008403	2	2.63157894736842	1	3.7037037037037	1	0.05	0	0	0	0	10	0.0719424460431655	2	0.0224719101123595	1	0.032258064516129	1	0	0.207109301852597	0	0.161479793806562	0	1	0
"TP53"	13	7.14285714285714	5	4.20168067226891	7	9.21052631578947	3	11.1111111111111	0	0	2	0.153846153846154	0	0	5	0.0359712230215827	9	0.101123595505618	3	0.0967741935483871	0.331680040485863	0	0.221192174889907	0	0.612081533203519	0	0.719454975658736	0
