182 diagnosis samples, 119 CR1 samples, 76 Rel1 samples, 27 Ref1 samples, 20 CR2 samples, 13 Rel2 samples, 4 Ref2 samples
gene	DiagnosisMutCt	DiagnosisMutFreq	CR1mutCt	CR1mutFreq	Rel1MutCt	Rel1MutFreq	Ref1MutCt	Ref1MutFreq	CR2mutCt	CR2mutFreq	Rel2MutCt	Rel2MutFreq	Ref2MutCt	Ref2MutFreq	CR1_2mutCt	CR1_2mutFreq	Rel1_2MutCt	Rel1_2MutFreq	Ref1_2MutCt	Ref1_2MutFreq
FLT3	70	0.384615384615385	9	0.0756302521008403	34	0.447368421052632	12	0.444444444444444	4	0.2	5	0.384615384615385	1	0.25	13	0.0935251798561151	39	0.438202247191011	13	0.419354838709677
NPM1	58	0.318681318681319	2	0.0168067226890756	27	0.355263157894737	3	0.111111111111111	3	0.15	4	0.307692307692308	1	0.25	5	0.0359712230215827	31	0.348314606741573	4	0.129032258064516
DNMT3A	58	0.318681318681319	30	0.252100840336134	23	0.302631578947368	3	0.111111111111111	3	0.15	4	0.307692307692308	1	0.25	33	0.237410071942446	27	0.303370786516854	4	0.129032258064516
TET2	38	0.208791208791209	22	0.184873949579832	16	0.210526315789474	5	0.185185185185185	2	0.1	2	0.153846153846154	1	0.25	24	0.172661870503597	18	0.202247191011236	6	0.193548387096774
IDH2	30	0.164835164835165	13	0.109243697478992	10	0.131578947368421	3	0.111111111111111	3	0.15	1	0.0769230769230769	1	0.25	16	0.115107913669065	11	0.123595505617978	4	0.129032258064516
ASXL1	23	0.126373626373626	15	0.126050420168067	11	0.144736842105263	4	0.148148148148148	0	0	1	0.0769230769230769	1	0.25	15	0.107913669064748	12	0.134831460674157	5	0.161290322580645
NRAS	22	0.120879120879121	2	0.0168067226890756	4	0.0526315789473684	1	0.037037037037037	0	0	1	0.0769230769230769	1	0.25	2	0.0143884892086331	5	0.0561797752808989	2	0.0645161290322581
chr8gain	19	0.104395604395604	2	0.0168067226890756	3	0.0394736842105263	1	0.037037037037037	0	0	0	0	0	0	2	0.0143884892086331	3	0.0337078651685393	1	0.032258064516129
SRSF2	14	0.0769230769230769	9	0.0756302521008403	2	0.0263157894736842	1	0.037037037037037	1	0.05	0	0	0	0	10	0.0719424460431655	2	0.0224719101123595	1	0.032258064516129
RUNX1	13	0.0714285714285714	4	0.0336134453781513	3	0.0394736842105263	0	0	0	0	0	0	1	0.25	4	0.0287769784172662	3	0.0337078651685393	1	0.032258064516129
TP53	13	0.0714285714285714	5	0.0420168067226891	7	0.0921052631578947	3	0.111111111111111	0	0	2	0.153846153846154	0	0	5	0.0359712230215827	9	0.101123595505618	3	0.0967741935483871
