"gene"	"beta_FLT3gain"	"beta_FLT3gain_lowCI"	"beta_FLT3gain_hiCI"	"pval_FLT3gain"	"beta_FLT3loss"	"beta_FLT3loss_lowCI"	"beta_FLT3loss_hiCI"	"pval_FLT3loss"	"beta_FLT3shared"	"beta_FLT3shared_lowCI"	"beta_FLT3shared_hiCI"	"pval_FLT3shared"
"ASXL1"	"0.445228341280177"	"-1.41664218944773"	"2.1136078784431"	"0.613136103162237"	"-0.0232568621642765"	"-1.86840721599369"	"1.61633900226109"	"0.978273382205348"	"-0.129953571276653"	"-1.97287985785931"	"1.50562855243318"	"0.878399683953477"
"DNMT3A"	"0.296265816143172"	"-1.00059446388587"	"1.5990964848734"	"0.650679260186409"	"-0.412881705763215"	"-1.66230611101406"	"0.787863682834673"	"0.50210905465904"	"0.166406101488055"	"-1.02578919087612"	"1.35801427203177"	"0.782586464451007"
"EZH2"	"1.03889305396649"	"-1.54463357121375"	"3.62592736517691"	"0.396244844108349"	"0.609064063349393"	"-1.96395854591045"	"3.18364491894545"	"0.613033725578779"	"-1.19449406037141"	"-6.14462621627256"	"1.3914864877737"	"0.399118740334764"
"IDH2"	"-0.15656906069154"	"-2.53304411541356"	"1.67183858187573"	"0.874987258433979"	"1.04796855584935"	"-0.704704028257432"	"2.94365733137499"	"0.23632196741512"	"-0.703299552023977"	"-3.06837615348047"	"1.09999853385928"	"0.461490484614183"
"NPM1"	"0.251314428280906"	"-1.03413230046983"	"1.58301888526397"	"0.701695443418957"	"-0.200670695462151"	"-1.40681772556764"	"0.999366649744056"	"0.741420103556352"	"-0.0269247033705925"	"-1.2127120891422"	"1.16433198434706"	"0.964283562746779"
"NRAS"	"-0.594498099490106"	"-2.93443703618113"	"1.12612160878607"	"0.523068782566479"	"1.00273051696483"	"-0.55151737613371"	"2.63664534005922"	"0.202836919605554"	"-0.37229696313937"	"-2.18703369553001"	"1.19164747824114"	"0.648968329926093"
"PTPN11"	"3.20616378927984"	"0.754681465076018"	"8.14129463403027"	"0.00813553739378492"	"-1.47212579696968"	"-6.39762506024776"	"0.952748869282458"	"0.266442636737688"	"-1.5694325778204"	"-6.49446138188327"	"0.853363212356605"	"0.231830743522361"
"RUNX1"	"0.496814886696392"	"-1.96902256126922"	"2.62100885190896"	"0.654594199345074"	"1.18658106161406"	"-0.919937328648919"	"3.64575731695423"	"0.263188769602134"	"-1.5694325778204"	"-6.49446138188327"	"0.853363212356605"	"0.231830743522361"
"STAG2"	"-1.05391210975019"	"-5.98286787723116"	"1.38566602010708"	"0.446371843017965"	"1.18658106161406"	"-0.919937328648919"	"3.64575731695424"	"0.263188769602134"	"-0.0370412716803704"	"-2.49097189788965"	"2.06738697388835"	"0.972589021069356"
"TET2"	"1.24432409984904"	"-0.289303738407749"	"2.80256907894669"	"0.109624339742471"	"-0.472659673303862"	"-2.26972456752759"	"1.04724665323213"	"0.553886776694092"	"-0.58283615974227"	"-2.37794573971339"	"0.932816587970368"	"0.462493148164137"
"WT1"	"0.00729930248161155"	"-1.80579864761777"	"1.55895662121399"	"0.992967920957217"	"-1.23676262714893"	"-3.55658443743713"	"0.428898163420894"	"0.155202575096182"	"1.16493493159918"	"-0.313474405526431"	"2.76602900135691"	"0.122259832658724"
