"gene"	"beta_FLT3gain"	"beta_FLT3gain_lowCI"	"beta_FLT3gain_hiCI"	"pval_FLT3gain"	"beta_FLT3loss"	"beta_FLT3loss_lowCI"	"beta_FLT3loss_hiCI"	"pval_FLT3loss"
"ASXL1"	"0.361452368102097"	"-1.39719125996584"	"1.81500774451034"	"0.654100558568765"	"-0.278340743198499"	"-2.589213729822"	"1.36729104701591"	"0.763462134938097"
"BCORL1"	"-0.437398155211173"	"-5.36258334589229"	"1.98909186267636"	"0.765968489283004"	"1.20682587330834"	"-1.25436485221838"	"3.32674564766646"	"0.294592342870984"
"chr5qdel"	"1.09861228866811"	"-1.35785511916232"	"3.21085265815636"	"0.335618948261862"	"-0.3364722366212"	"-5.26325857115696"	"2.09666986619868"	"0.82116138391545"
"chr8gain"	"0.475423696715075"	"-1.89055311675807"	"2.28719121075041"	"0.644649996300735"	"-0.823859287415186"	"-5.72688034058544"	"1.46761786805125"	"0.546093778266319"
"DNMT3A"	"0.798305159043105"	"-0.428655397408009"	"2.0350414723977"	"0.198453496470609"	"0.164888710290354"	"-1.18521917132082"	"1.42589666752534"	"0.801232314159313"
"ETV6"	"-0.437398155211173"	"-5.36258334589228"	"1.98909186267636"	"0.765968489283004"	"1.20682587330834"	"-1.25436485221839"	"3.32674564766647"	"0.294592342870984"
"IDH1"	"1.09861228866811"	"-1.35785511916231"	"3.21085265815637"	"0.335618948261862"	"-0.3364722366212"	"-5.26325857115695"	"2.09666986619868"	"0.82116138391545"
"IDH2"	"-0.366200389586221"	"-2.66664218720353"	"1.25751854431411"	"0.686485733792974"	"-0.255620139992101"	"-2.56081427828701"	"1.38028628472943"	"0.781275236528088"
"KIT"	"-1.11099634786783"	"-6.00593554357146"	"1.13572502919193"	"0.393105700757686"	"-1.00909569116154"	"-5.90562761751352"	"1.24545055067609"	"0.444873964804097"
"KRAS"	"-0.706570200892086"	"-5.61730580492341"	"1.6320276014146"	"0.613644787514199"	"0.853111830252624"	"-1.55117905449474"	"2.77986282484427"	"0.432849377199939"
"NF1"	"-0.437398155211173"	"-5.36258334589227"	"1.98909186267637"	"0.765968489283004"	"1.20682587330834"	"-1.25436485221839"	"3.32674564766647"	"0.294592342870984"
"NOTCH1"	"0.744595742395987"	"-1.65494793220835"	"2.66223801134632"	"0.489088627916623"	"-0.60533097454464"	"-5.51766512966922"	"1.74046054922468"	"0.669656942510047"
"NPM1"	"0.742217373816216"	"-0.460518895171434"	"2.00272176189447"	"0.225534311516785"	"0.558705073755718"	"-0.687927524039157"	"1.84306292990414"	"0.376427416710084"
"NRAS"	"-0.486284514849873"	"-2.78097005310888"	"1.12205747790033"	"0.585625173859336"	"0.933443811100405"	"-0.613963012138698"	"2.34086383495417"	"0.221394483958057"
"PTPN11"	"2.66503281601852"	"0.741512665864954"	"5.0810440743901"	"0.00694928312999255"	"-0.60533097454464"	"-5.51766512966922"	"1.74046054922468"	"0.669656942510047"
"SF3B1"	"-0.437398155211173"	"-5.36258334589227"	"1.98909186267638"	"0.765968489283004"	"1.20682587330834"	"-1.25436485221839"	"3.32674564766647"	"0.294592342870984"
"SRSF2"	"-0.437398155211173"	"-5.36258334589227"	"1.98909186267637"	"0.765968489283004"	"-0.3364722366212"	"-5.26325857115696"	"2.09666986619868"	"0.82116138391545"
"STAG2"	"-0.437398155211173"	"-5.36258334589227"	"1.98909186267636"	"0.765968489283004"	"2.34551013771108"	"0.226787098774892"	"4.81831143034029"	"0.0310674946263207"
"t.8.21."	"-0.706570200892086"	"-5.61730580492341"	"1.63202760141462"	"0.613644787514199"	"-0.60533097454464"	"-5.51766512966922"	"1.74046054922468"	"0.669656942510047"
"TET2"	"0.60077386042893"	"-0.766386051540294"	"1.87193493800283"	"0.372135298221743"	"-0.258128764700632"	"-1.99224148215235"	"1.14046871239607"	"0.732824523583788"
"TP53"	"0.744595742395987"	"-1.65494793220835"	"2.66223801134633"	"0.489088627916623"	"-0.60533097454464"	"-5.51766512966922"	"1.74046054922467"	"0.669656942510047"
"WT1"	"-1.11099634786783"	"-6.00593554357145"	"1.13572502919193"	"0.393105700757686"	"-1.00909569116154"	"-5.90562761751353"	"1.24545055067609"	"0.444873964804097"
"ZRSR2"	"-0.107182943996581"	"-5.03648945224825"	"2.4304476537119"	"0.94446127171574"	"-0.418136401689211"	"-6.11519088652098"	"2.52634440735366"	"0.835545180451796"
NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
