"gene"	"testGeneMut.noFLT3gain"	"testGeneMut.FLT3gain"	"totalTestGeneMut"	"beta_FLT3gain"	"beta_FLT3gain_lowCI"	"beta_FLT3gain_hiCI"	"pval_FLT3gain"	"testGeneMut.noFLT3loss"	"testGeneMut.FLT3loss"	"totalTestGeneMut"	"beta_FLT3loss"	"beta_FLT3loss_lowCI"	"beta_FLT3loss_hiCI"	"pval_FLT3loss"
"ASXL1"	"9"	"2"	"11"	"0.330006696856571"	"-1.42652418656381"	"1.77455443316914"	"0.681219248888436"	"9"	"2"	"11"	"-0.0675679084870511"	"-1.80307252601343"	"1.33485710993327"	"0.92979926972186"
"BCORL1"	"3"	"0"	"3"	"-0.352601618551084"	"-5.27742818481587"	"2.07262397481085"	"0.812047197176883"	"2"	"1"	"3"	"0.817361106546155"	"-1.6254127132969"	"2.90816052669503"	"0.46295408361877"
"chr5qdel"	"2"	"1"	"3"	"1.18199389760716"	"-1.27357078881089"	"3.29306304559941"	"0.302484132653044"	"3"	"0"	"3"	"-0.697485582158531"	"-5.61789641781827"	"1.70962744770599"	"0.623428378132381"
"chr8gain"	"4"	"1"	"5"	"0.561684040999482"	"-1.80331500335734"	"2.37186475804812"	"0.588027859311282"	"5"	"0"	"5"	"-1.18487263295252"	"-6.08151699819406"	"1.07692124019504"	"0.359921600947895"
"DNMT3A"	"20"	"6"	"26"	"0.775064303027823"	"-0.448885327307619"	"2.00479249661839"	"0.210358394825091"	"20"	"6"	"26"	"0.201304007707997"	"-0.953533761955068"	"1.30265404597781"	"0.724209027495034"
"ETV6"	"3"	"0"	"3"	"-0.352601618551084"	"-5.27742818481585"	"2.07262397481084"	"0.812047197176883"	"2"	"1"	"3"	"0.817361106546156"	"-1.62541271329691"	"2.90816052669502"	"0.46295408361877"
"IDH1"	"2"	"1"	"3"	"1.18199389760716"	"-1.27357078881089"	"3.2930630455994"	"0.302484132653044"	"3"	"0"	"3"	"-0.697485582158531"	"-5.61789641781827"	"1.70962744770599"	"0.623428378132381"
"IDH2"	"9"	"1"	"10"	"-0.27179070511513"	"-2.57104922664904"	"1.34969363689648"	"0.76612079989573"	"9"	"1"	"10"	"-0.645084906753825"	"-2.93151881187385"	"0.944110532991734"	"0.459090458327156"
"KIT"	"6"	"0"	"6"	"-1.02165124753198"	"-5.91619206802347"	"1.22344795441486"	"0.437097109665456"	"6"	"0"	"6"	"-1.37010903669887"	"-6.26026394864928"	"0.853667857195129"	"0.27282709133548"
"KRAS"	"4"	"0"	"4"	"-0.620309856599291"	"-5.5306742603897"	"1.71688511188061"	"0.660675798450586"	"3"	"1"	"4"	"0.463647063489563"	"-1.92210571245474"	"2.3558355878363"	"0.657723982362676"
"NF1"	"3"	"0"	"3"	"-0.352601618551084"	"-5.27742818481584"	"2.07262397481085"	"0.812047197176883"	"2"	"1"	"3"	"0.817361106546156"	"-1.62541271329691"	"2.90816052669503"	"0.46295408361877"
"NOTCH1"	"3"	"1"	"4"	"0.829392279056064"	"-1.56921085311725"	"2.74562871409049"	"0.44343347797333"	"4"	"0"	"4"	"-0.966344320081971"	"-5.87230225448743"	"1.35125638711212"	"0.473891166339168"
"NPM1"	"25"	"7"	"32"	"0.747777148046486"	"-0.453508706376463"	"2.00567093217498"	"0.221511236964019"	"24"	"8"	"32"	"0.398639143037765"	"-0.692068007481298"	"1.49297697397837"	"0.469727881246826"
"NRAS"	"10"	"1"	"11"	"-0.390056482755143"	"-2.68351133580956"	"1.21593299583332"	"0.664170455316569"	"8"	"3"	"11"	"0.470820289152401"	"-1.03324278302674"	"1.80234552805917"	"0.513466575923357"
"PTPN11"	"1"	"3"	"4"	"2.74704596767935"	"0.824904539119276"	"5.16220518498057"	"0.00543577129344297"	"4"	"0"	"4"	"-0.966344320081971"	"-5.87230225448743"	"1.35125638711212"	"0.473891166339168"
"SF3B1"	"3"	"0"	"3"	"-0.352601618551084"	"-5.27742818481585"	"2.07262397481085"	"0.812047197176883"	"2"	"1"	"3"	"0.817361106546156"	"-1.6254127132969"	"2.90816052669503"	"0.46295408361877"
"SRSF2"	"3"	"0"	"3"	"-0.352601618551084"	"-5.27742818481585"	"2.07262397481084"	"0.812047197176883"	"3"	"0"	"3"	"-0.697485582158531"	"-5.61789641781824"	"1.70962744770599"	"0.623428378132381"
