"gene"	"testGeneMut.noWT1gain"	"testGeneMut.WT1gain"	"totalTestGeneMut"	"beta_WT1gain"	"beta_WT1gain_lowCI"	"beta_WT1gain_hiCI"	"pval_WT1gain"	"testGeneMut.noWT1loss"	"testGeneMut.WT1loss"	"totalTestGeneMut"	"beta_WT1loss"	"beta_WT1loss_lowCI"	"beta_WT1loss_hiCI"	"pval_WT1loss"
"ASXL1"	"10"	"1"	"11"	"0.669049628980885"	"-1.70074178831431"	"2.48937021862347"	"0.523546411535575"	"10"	"1"	"11"	"1.28883902496918"	"-1.17147921373958"	"3.40762866957593"	"0.265239876874577"
"BCORL1"	"3"	"0"	"3"	"0.576175503974441"	"-4.37242945605967"	"3.10507577845208"	"0.730995839823864"	"3"	"0"	"3"	"1.05693959226599"	"-3.91547532785188"	"3.70104554237401"	"0.554381538691458"
"chr5qdel"	"3"	"0"	"3"	"0.576175503974441"	"-4.37242945605967"	"3.10507577845208"	"0.730995839823872"	"3"	"0"	"3"	"1.05693959226599"	"-3.91547532785189"	"3.70104554237401"	"0.554381538691458"
"chr8gain"	"5"	"0"	"5"	"0.0945585826250127"	"-4.83023825044778"	"2.49446901051289"	"0.951645236515708"	"5"	"0"	"5"	"0.57617550397358"	"-4.37242945605959"	"3.10507577845209"	"0.730995839823833"
"DNMT3A"	"23"	"3"	"26"	"1.06103561341377"	"-0.643232405830467"	"2.91212931844996"	"0.21676805567219"	"26"	"0"	"26"	"-1.36232517100555"	"-6.27807147720362"	"1.02589219561207"	"0.301540262736769"
"ETV6"	"3"	"0"	"3"	"0.576175503974441"	"-4.37242945605966"	"3.10507577845207"	"0.730995839823872"	"3"	"0"	"3"	"1.05693959226599"	"-3.91547532785188"	"3.70104554237401"	"0.554381538691458"
"FLT3"	"33"	"4"	"37"	"1.23772509113083"	"-0.51252786402022"	"3.57382879468464"	"0.17193866435987"	"36"	"1"	"37"	"-0.483796951378071"	"-2.90990845139232"	"1.58103379043761"	"0.642955352037747"
"IDH1"	"3"	"0"	"3"	"0.576175503974441"	"-4.37242945605967"	"3.10507577845208"	"0.730995839823872"	"3"	"0"	"3"	"1.05693959226599"	"-3.91547532785188"	"3.70104554237401"	"0.554381538691458"
"IDH2"	"10"	"0"	"10"	"-0.630233355146367"	"-5.53480917075062"	"1.66896849584186"	"0.652654419697149"	"10"	"0"	"10"	"-0.146245500317306"	"-5.07461494603799"	"2.29375198415714"	"0.92349026226711"
"KIT"	"6"	"0"	"6"	"-0.0876473070587556"	"-5.00593087317251"	"2.27895263250772"	"0.95393862766361"	"6"	"0"	"6"	"0.394415271920946"	"-4.54767430502555"	"2.89382080122472"	"0.809442166299617"
