"gene"	"beta_DNMT3A_vs_ASXL1"	"lowCI"	"hiCI"	"pval"
"NPM1"	"2.39789527279502"	"0.592291300880317"	"4.80455915995207"	"0.00790228679697513"
"FLT3"	"1.32253984629453"	"-0.328173204137464"	"3.21667289568685"	"0.117849748669201"
"CBL"	"-2.34032542097685"	"-7.37342115403583"	"0.705845473656745"	"0.12999815359597"
"chr21gain"	"-2.34032542097685"	"-7.37342115403583"	"0.705845473656745"	"0.12999815359597"
"chr5qdel"	"-2.34032542097685"	"-7.37342115403582"	"0.705845473656749"	"0.12999815359597"
"NOTCH1"	"-2.34032542097685"	"-7.37342115403582"	"0.70584547365675"	"0.12999815359597"
"SRSF2"	"-2.34032542097685"	"-7.37342115403582"	"0.70584547365675"	"0.12999815359597"
"TBL1XR1"	"-2.34032542097685"	"-7.37342115403582"	"0.705845473656749"	"0.12999815359597"
"ZRSR2"	"-2.34032542097685"	"-7.37342115403582"	"0.70584547365675"	"0.12999815359597"
"TET2"	"-1.18287263228585"	"-2.93314582579735"	"0.473651984228897"	"0.160365162145775"
"EZH2"	"-1.19625075823202"	"-3.83943835432391"	"1.43565160282094"	"0.342573471529123"
"NRAS"	"-1.19625075823202"	"-3.83943835432391"	"1.43565160282093"	"0.342573471529123"
"BCORL1"	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"BRAF"	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"BRINP3"	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"CDH2"	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"chr11qdel"	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"chr13gain"	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"chr17loss"	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"chr22gain"	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"chr5loss"	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"chr7loss"	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"chr7qdel"	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"chr8gain"	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"CSF1R"	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"CSF3R"	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"FBXW7"	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"GATA2"	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"HNRNPK"	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"IL7R"	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"inv.16."	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"JAK2"	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"MAP2K1"	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"MPL"	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"MYCN"	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"MYD88"	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"NF1"	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"NOTCH2"	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"PHF6"	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"POT1"	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"PRPF40B"	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"PTEN"	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"PTPN11"	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"RIT1"	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"RUNX1"	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"SF1"	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"SF3B1"	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"SMC1A"	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"t.11.19."	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"t.15.17."	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"t.16.16."	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"t.8.21."	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"t.9.22."	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"U2AF1"	"1.0986122886681"	"-4.16165680358262"	"6.3601706013967"	"0.598670972331929"
"IDH1"	"0.603916046832001"	"-2.05645874300701"	"5.57512816730284"	"0.691418643658796"
"IDH2"	"0.603916046832001"	"-2.05645874300701"	"5.57512816730262"	"0.691418643658796"
"WT1"	"0.603916046832001"	"-2.05645874300701"	"5.57512816730294"	"0.691418643658796"
"ABL1"	"0.0454623740767567"	"-2.99848174901794"	"5.07245044569188"	"0.978431989014147"
