"gene"	"beta_DNMT3A_vs_ASXL1"	"lowCI"	"hiCI"	"pval"
"SRSF2"	"-1.91648989904385"	"-4.36753713482561"	"-0.778349296847217"	"0.00026365126291783"
"STAG2"	"-1.21875220544671"	"-2.39973220918337"	"-0.324362200764709"	"0.00715596634507598"
"FLT3"	"0.786308325327542"	"0.187004208854936"	"1.50598770655784"	"0.00896153001662414"
"ZRSR2"	"-1.41470552905324"	"-3.88848545666771"	"-0.127395476947018"	"0.0303170296203675"
"RUNX1"	"-0.792148461737131"	"-1.73023010201351"	"0.0726173930455102"	"0.0716342615840533"
"BCORL1"	"-0.85578370375524"	"-2.07896432439523"	"0.18870288580089"	"0.105267658008872"
"WT1"	"-0.85578370375524"	"-2.07896432439523"	"0.188702885800888"	"0.105267658008873"
"BIRC3"	"-1.12803253867958"	"-3.62949650811827"	"0.361307284126275"	"0.134789812707675"
"chr21gain"	"-1.12803253867958"	"-3.62949650811828"	"0.361307284126278"	"0.134789812707675"
"inv.16."	"-1.12803253867958"	"-3.62949650811828"	"0.361307284126278"	"0.134789812707675"
"MYD88"	"-1.12803253867958"	"-3.62949650811827"	"0.361307284126275"	"0.134789812707675"
"NOTCH1"	"-1.12803253867958"	"-3.62949650811827"	"0.361307284126278"	"0.134789812707675"
"SETBP1"	"-1.12803253867958"	"-3.62949650811828"	"0.361307284126267"	"0.134789812707675"
"TBL1XR1"	"-1.12803253867958"	"-3.62949650811827"	"0.361307284126278"	"0.134789812707675"
"chr5qdel"	"-0.569110713381578"	"-1.85026392559007"	"0.711163250548213"	"0.348721452234495"
"EZH2"	"-0.569110713381578"	"-1.85026392559006"	"0.711163250548217"	"0.348721452234495"
"SMC1A"	"-0.569110713381578"	"-1.85026392559006"	"0.711163250548217"	"0.348721452234495"
"t.8.21."	"-0.569110713381578"	"-1.85026392559006"	"0.711163250548214"	"0.348721452234495"
"BRAF"	"-0.569110713381578"	"-1.85026392559006"	"0.711163250548222"	"0.348721452234496"
"PTPN11"	"0.453069180205069"	"-0.750042259429185"	"2.9132040921214"	"0.514171096887629"
"RAD21"	"-0.303893665803526"	"-1.34861640685038"	"0.917185166495882"	"0.580703292627868"
"TP53"	"-0.303893665803526"	"-1.34861640685038"	"0.917185166495883"	"0.580703292627868"
"TET2"	"-0.156478025291776"	"-0.715323326570619"	"0.42817762536744"	"0.589593152570048"
"CBL"	"-0.549306144334054"	"-3.16725368429509"	"2.06852307128181"	"0.594740439348652"
"CDH2"	"-0.549306144334054"	"-3.16725368429509"	"2.06852307128181"	"0.594740439348652"
"chr11qdel"	"-0.549306144334054"	"-3.16725368429509"	"2.06852307128181"	"0.594740439348652"
"chr22gain"	"-0.549306144334054"	"-3.16725368429509"	"2.06852307128181"	"0.594740439348652"
"chr7loss"	"-0.549306144334054"	"-3.16725368429509"	"2.06852307128181"	"0.594740439348652"
"CSF3R"	"-0.549306144334054"	"-3.16725368429509"	"2.06852307128181"	"0.594740439348652"
"GATA2"	"-0.549306144334054"	"-3.16725368429509"	"2.06852307128181"	"0.594740439348652"
"IL7R"	"-0.549306144334054"	"-3.16725368429509"	"2.06852307128181"	"0.594740439348652"
"JAK2"	"-0.549306144334054"	"-3.16725368429509"	"2.06852307128181"	"0.594740439348652"
"MAP2K1"	"-0.549306144334054"	"-3.16725368429509"	"2.06852307128181"	"0.594740439348652"
"MPL"	"-0.549306144334054"	"-3.16725368429509"	"2.06852307128181"	"0.594740439348652"
"MYCN"	"-0.549306144334054"	"-3.16725368429509"	"2.06852307128181"	"0.594740439348652"
"NOTCH2"	"-0.549306144334054"	"-3.16725368429509"	"2.06852307128181"	"0.594740439348652"
"POT1"	"-0.549306144334054"	"-3.16725368429509"	"2.06852307128181"	"0.594740439348652"
