"gene"	"beta_DNMT3A_vs_TET2"	"lowCI"	"hiCI"	"pval"
"CBL"	"-2.90142159408275"	"-7.84903524675745"	"-0.408410063570386"	"0.0200840135124088"
"FLT3"	"1.27296567580966"	"-0.235156990121176"	"2.94008194728498"	"0.0991276910160662"
"EZH2"	"-1.288530192354"	"-3.79302710509452"	"0.872652488240251"	"0.237534799187453"
"PTEN"	"-1.81773495563131"	"-6.83992659216434"	"1.2062635820652"	"0.237995269111085"
"SF3B1"	"-1.81773495563131"	"-6.83992659216436"	"1.20626358206519"	"0.237995269111085"
"SRSF2"	"-1.81773495563131"	"-6.83992659216436"	"1.20626358206519"	"0.237995269111085"
"t.8.21."	"-1.81773495563131"	"-6.83992659216434"	"1.2062635820652"	"0.237995269111085"
"TBL1XR1"	"-1.81773495563131"	"-6.83992659216436"	"1.20626358206519"	"0.237995269111085"
"ZRSR2"	"-1.81773495563131"	"-6.83992659216436"	"1.20626358206519"	"0.237995269111085"
"NPM1"	"0.878550403888077"	"-0.607444428590443"	"2.44699301504326"	"0.247343333444804"
"IDH2"	"1.49392502530925"	"-0.983940985326754"	"6.433553092424"	"0.268451841446381"
"ASXL1"	"-0.86903784702361"	"-2.51262961390244"	"0.739342183678058"	"0.285404903282159"
"WT1"	"0.609064063349388"	"-1.27254773687837"	"3.01703978502907"	"0.541378050281627"
"NOTCH1"	"-0.666478933477784"	"-3.28013058211795"	"1.94287475475267"	"0.587703284780797"
"ABL1"	"0.532216813744299"	"-2.49091652773814"	"5.55201212560797"	"0.742296444158264"
"ATM"	"0.532216813744299"	"-2.49091652773814"	"5.55201212560786"	"0.742296444158264"
"BIRC3"	"0.532216813744299"	"-2.49091652773814"	"5.55201212560788"	"0.742296444158264"
"CDKN2A"	"0.532216813744299"	"-2.49091652773814"	"5.55201212560786"	"0.742296444158264"
"chr22gain"	"0.532216813744299"	"-2.49091652773814"	"5.5520121256081"	"0.742296444158264"
"KRAS"	"0.532216813744299"	"-2.49091652773814"	"5.5520121256079"	"0.742296444158264"
"MYC"	"0.532216813744299"	"-2.49091652773814"	"5.55201212560782"	"0.742296444158264"
"NRAS"	"0.532216813744299"	"-2.49091652773814"	"5.55201212560787"	"0.742296444158264"
"RAD21"	"0.532216813744299"	"-2.49091652773814"	"5.55201212560799"	"0.742296444158264"
"SETBP1"	"0.532216813744299"	"-2.49091652773814"	"5.55201212560797"	"0.742296444158264"
"STAG2"	"0.532216813744299"	"-2.49091652773814"	"5.55201212560797"	"0.742296444158264"
"TP53"	"0.532216813744299"	"-2.49091652773814"	"5.5520121256079"	"0.742296444158264"
"U2AF2"	"0.532216813744299"	"-2.49091652773814"	"5.55201212560799"	"0.742296444158264"
"BCOR"	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"BCORL1"	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"BRAF"	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"BRINP3"	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"CDH2"	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"chr11qdel"	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"chr13gain"	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"chr17loss"	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"chr21gain"	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"chr5loss"	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"chr5qdel"	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"chr7loss"	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"chr7qdel"	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"chr8gain"	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"CSF1R"	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"CSF3R"	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"FBXW7"	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"GATA2"	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"HNRNPK"	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"IL7R"	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"inv.16."	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"JAK2"	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"KIT"	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"MAP2K1"	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"MPL"	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"MYCN"	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"MYD88"	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"NF1"	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"NOTCH2"	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"PHF6"	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"POT1"	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"PRPF40B"	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"PTPN11"	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"RIT1"	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"RUNX1"	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"SF1"	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"SMC1A"	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"t.11.19."	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"t.15.17."	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"t.16.16."	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"t.9.22."	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"U2AF1"	"0.619039208420144"	"-4.63387050147689"	"5.87247413360608"	"0.762749228742814"
"ETV6"	"-0.100083458556895"	"-2.26226485508086"	"2.39336517730778"	"0.928295731830116"
"IDH1"	"-0.100083458556895"	"-2.26226485508086"	"2.39336517730778"	"0.928295731830116"
