"gene"	"beta_DNMT3A_vs_TET2"	"lowCI"	"hiCI"	"pval"
"SRSF2"	"-1.62644273940437"	"-4.0746862462613"	"-0.498404890442082"	"0.00231821324554837"
"FLT3"	"0.702671278045292"	"0.178941540258045"	"1.2741800605809"	"0.00801520535921096"
"NPM1"	"0.649641492065129"	"0.135010177837305"	"1.20122649600983"	"0.0129240720340525"
"chr8gain"	"-0.909501995667298"	"-1.79556232267036"	"-0.172967669284217"	"0.0149463343444148"
"CBL"	"-1.34912310050279"	"-3.80866314004457"	"-0.149861359244088"	"0.0251402105300718"
"NRAS"	"1.04880442281759"	"-0.0570087437699467"	"3.49272041287717"	"0.0662611623122626"
"ZRSR2"	"-1.15707295769756"	"-3.6290653553919"	"0.125059353443712"	"0.0792341299265124"
"SMC1A"	"-0.788188525086606"	"-1.97874562162508"	"0.151010080909565"	"0.100384475738633"
"STAG2"	"-0.788188525086606"	"-1.97874562162508"	"0.151010080909564"	"0.100384475738634"
"IDH2"	"0.639291834058554"	"-0.156433245518256"	"1.78285805922029"	"0.123116809652524"
"ASXL1"	"-0.381070026023449"	"-1.00593860773893"	"0.239957682346959"	"0.225046155927756"
"chr21gain"	"-0.878928958776187"	"-3.37884074623499"	"0.606922641037205"	"0.244858937169268"
"chr22gain"	"-0.878928958776187"	"-3.37884074623497"	"0.606922641037205"	"0.244858937169268"
"chr7loss"	"-0.878928958776187"	"-3.37884074623501"	"0.606922641037207"	"0.244858937169268"
"IL7R"	"-0.878928958776187"	"-3.37884074623497"	"0.606922641037203"	"0.244858937169268"
"inv.16."	"-0.878928958776187"	"-3.37884074623497"	"0.606922641037205"	"0.244858937169268"
"JAK2"	"-0.878928958776187"	"-3.37884074623498"	"0.606922641037207"	"0.244858937169268"
"POT1"	"-0.878928958776187"	"-3.37884074623499"	"0.606922641037205"	"0.244858937169268"
"PTEN"	"-0.878928958776187"	"-3.37884074623497"	"0.606922641037208"	"0.244858937169268"
"SETBP1"	"-0.878928958776187"	"-3.37884074623499"	"0.606922641037208"	"0.244858937169268"
"SF3B1"	"-0.878928958776187"	"-3.37884074623498"	"0.606922641037202"	"0.244858937169268"
"TBL1XR1"	"-0.878928958776187"	"-3.37884074623495"	"0.606922641037203"	"0.244858937169268"
"BCORL1"	"-0.596138382281372"	"-1.81455503747323"	"0.442833900016586"	"0.253782892462939"
"BRAF"	"-0.596138382281372"	"-1.81455503747322"	"0.442833900016586"	"0.253782892462939"
"KRAS"	"-0.596138382281372"	"-1.81455503747323"	"0.44283390001659"	"0.253782892462939"
"IDH1"	"0.477755722513717"	"-0.347822251191138"	"1.63139980258265"	"0.275542134348193"
"RAD21"	"0.700804298046411"	"-0.497234011795769"	"3.15972097874764"	"0.287549351996289"
"ETV6"	"0.520372453173725"	"-0.761228268941583"	"2.99195292095503"	"0.464246050053932"
"MYC"	"0.520372453173725"	"-0.761228268941584"	"2.99195292095502"	"0.464246050053932"
"PTPN11"	"0.520372453173725"	"-0.761228268941582"	"2.99195292095501"	"0.464246050053932"
"TP53"	"0.520372453173725"	"-0.76122826894158"	"2.99195292095505"	"0.464246050053932"
"WT1"	"0.520372453173725"	"-0.761228268941579"	"2.99195292095501"	"0.464246050053932"
"NF1"	"-0.328820246051506"	"-1.29482740215159"	"0.636336286265534"	"0.483856117893773"
"chr13gain"	"-0.317994383359998"	"-1.59507727520711"	"0.958708557643266"	"0.59371267019382"
"EZH2"	"-0.317994383359998"	"-1.59507727520711"	"0.958708557643265"	"0.59371267019382"
"KIT"	"-0.317994383359998"	"-1.5950772752071"	"0.958708557643262"	"0.59371267019382"
"NOTCH1"	"-0.317994383359998"	"-1.59507727520711"	"0.958708557643265"	"0.59371267019382"
"RUNX1"	"-0.317994383359998"	"-1.5950772752071"	"0.958708557643263"	"0.59371267019382"
