"gene"	"beta_TET2_vs_ASXL1"	"lowCI"	"hiCI"	"pval"
"NPM1"	"1.53567176219449"	"-0.257861959434095"	"3.57310313287028"	"0.0944608941758522"
"WT1"	"-1.33180617582872"	"-3.89820375387886"	"0.898965275017355"	"0.238277810984784"
"chr21gain"	"-1.8294997972109"	"-6.86979126532424"	"1.23525609400661"	"0.242049758322741"
"chr22gain"	"-1.8294997972109"	"-6.86979126532424"	"1.23525609400661"	"0.242049758322741"
"chr5qdel"	"-1.8294997972109"	"-6.86979126532424"	"1.23525609400661"	"0.242049758322741"
"IDH2"	"-1.8294997972109"	"-6.86979126532424"	"1.23525609400661"	"0.242049758322741"
"NOTCH1"	"-1.8294997972109"	"-6.86979126532424"	"1.23525609400661"	"0.242049758322741"
"NRAS"	"-1.8294997972109"	"-6.86979126532424"	"1.23525609400661"	"0.242049758322741"
"CBL"	"1.18199389760716"	"-1.50570827754404"	"6.16288060096481"	"0.421303353615049"
"ETV6"	"-0.653926467399568"	"-3.31688984067943"	"2.00002565507375"	"0.603145236294901"
"BCOR"	"0.587786664902118"	"-2.47518912652115"	"5.62324423339935"	"0.719129866662499"
"EZH2"	"0.587786664902118"	"-2.47518912652114"	"5.62324423339922"	"0.719129866662499"
"IDH1"	"0.587786664902118"	"-2.47518912652115"	"5.62324423339938"	"0.719129866662499"
"KIT"	"0.587786664902118"	"-2.47518912652115"	"5.62324423339922"	"0.719129866662499"
"PTEN"	"0.587786664902118"	"-2.47518912652115"	"5.62324423339926"	"0.719129866662499"
"SF3B1"	"0.587786664902118"	"-2.47518912652115"	"5.62324423339938"	"0.719129866662499"
"t.8.21."	"0.587786664902118"	"-2.47518912652115"	"5.62324423339926"	"0.719129866662499"
"ABL1"	"0.58778666490212"	"-4.67995244828926"	"5.85652859623001"	"0.77577439735716"
"ATM"	"0.58778666490212"	"-4.67995244828926"	"5.85652859623001"	"0.77577439735716"
"BCORL1"	"0.58778666490212"	"-4.67995244828926"	"5.85652859623001"	"0.77577439735716"
"BIRC3"	"0.58778666490212"	"-4.67995244828926"	"5.85652859623001"	"0.77577439735716"
"BRAF"	"0.58778666490212"	"-4.67995244828926"	"5.85652859623001"	"0.77577439735716"
"BRINP3"	"0.58778666490212"	"-4.67995244828926"	"5.85652859623001"	"0.77577439735716"
"CDH2"	"0.58778666490212"	"-4.67995244828926"	"5.85652859623001"	"0.77577439735716"
"CDKN2A"	"0.58778666490212"	"-4.67995244828926"	"5.85652859623001"	"0.77577439735716"
"chr11qdel"	"0.58778666490212"	"-4.67995244828926"	"5.85652859623001"	"0.77577439735716"
"chr13gain"	"0.58778666490212"	"-4.67995244828926"	"5.85652859623001"	"0.77577439735716"
"chr17loss"	"0.58778666490212"	"-4.67995244828926"	"5.85652859623001"	"0.77577439735716"
"chr5loss"	"0.58778666490212"	"-4.67995244828926"	"5.85652859623001"	"0.77577439735716"
"chr7loss"	"0.58778666490212"	"-4.67995244828926"	"5.85652859623001"	"0.77577439735716"
"chr7qdel"	"0.58778666490212"	"-4.67995244828926"	"5.85652859623001"	"0.77577439735716"
"chr8gain"	"0.58778666490212"	"-4.67995244828926"	"5.85652859623001"	"0.77577439735716"
"CSF1R"	"0.58778666490212"	"-4.67995244828926"	"5.85652859623001"	"0.77577439735716"
"CSF3R"	"0.58778666490212"	"-4.67995244828926"	"5.85652859623001"	"0.77577439735716"
"FBXW7"	"0.58778666490212"	"-4.67995244828926"	"5.85652859623001"	"0.77577439735716"
"GATA2"	"0.58778666490212"	"-4.67995244828926"	"5.85652859623001"	"0.77577439735716"
"HNRNPK"	"0.58778666490212"	"-4.67995244828926"	"5.85652859623001"	"0.77577439735716"
"IL7R"	"0.58778666490212"	"-4.67995244828926"	"5.85652859623001"	"0.77577439735716"
"inv.16."	"0.58778666490212"	"-4.67995244828926"	"5.85652859623001"	"0.77577439735716"
"JAK2"	"0.58778666490212"	"-4.67995244828926"	"5.85652859623001"	"0.77577439735716"
"KRAS"	"0.58778666490212"	"-4.67995244828926"	"5.85652859623001"	"0.77577439735716"
"MAP2K1"	"0.58778666490212"	"-4.67995244828926"	"5.85652859623001"	"0.77577439735716"
"MPL"	"0.58778666490212"	"-4.67995244828926"	"5.85652859623001"	"0.77577439735716"
"MYC"	"0.58778666490212"	"-4.67995244828926"	"5.85652859623001"	"0.77577439735716"
"MYCN"	"0.58778666490212"	"-4.67995244828926"	"5.85652859623001"	"0.77577439735716"
"MYD88"	"0.58778666490212"	"-4.67995244828926"	"5.85652859623001"	"0.77577439735716"
"NF1"	"0.58778666490212"	"-4.67995244828926"	"5.85652859623001"	"0.77577439735716"
"NOTCH2"	"0.58778666490212"	"-4.67995244828926"	"5.85652859623001"	"0.77577439735716"
"PHF6"	"0.58778666490212"	"-4.67995244828926"	"5.85652859623001"	"0.77577439735716"
"POT1"	"0.58778666490212"	"-4.67995244828926"	"5.85652859623001"	"0.77577439735716"
