"gene"	"beta_TET2_vs_ASXL1"	"lowCI"	"hiCI"	"pval"
"WT1"	"-1.37650079445326"	"-3.83954750966424"	"-0.165058934689671"	"0.0235670935222022"
"NPM1"	"0.71069284046558"	"0.0735243495146222"	"1.45662759990484"	"0.0279966884597435"
"chr8gain"	"1.16578631493365"	"0.059063878812808"	"3.61062604279866"	"0.0365965822829251"
"RAD21"	"-1.17491898889332"	"-3.6501392612992"	"0.117178001288488"	"0.0768017932768333"
"IDH2"	"-0.701411831535551"	"-1.62552861736339"	"0.114170461059644"	"0.0917155398621372"
"NRAS"	"-0.540025135404025"	"-1.48379888841126"	"0.331883070298284"	"0.219899422676346"
"BIRC3"	"-0.888245998519656"	"-3.39114969476902"	"0.604718402709181"	"0.242310634977265"
"chr5qdel"	"-0.888245998519656"	"-3.39114969476902"	"0.604718402709181"	"0.242310634977265"
"ETV6"	"-0.888245998519656"	"-3.39114969476904"	"0.604718402709177"	"0.242310634977265"
"MYD88"	"-0.888245998519656"	"-3.39114969476902"	"0.604718402709181"	"0.242310634977265"
"NOTCH1"	"-0.888245998519656"	"-3.39114969476904"	"0.604718402709177"	"0.242310634977265"
"TP53"	"-0.888245998519656"	"-3.39114969476903"	"0.604718402709179"	"0.242310634977265"
"IDH1"	"-0.609986572834231"	"-1.83702759490303"	"0.439992374439802"	"0.248412816752666"
"RUNX1"	"-0.609986572834231"	"-1.83702759490303"	"0.439992374439802"	"0.248412816752666"
"STAG2"	"-0.609986572834231"	"-1.83702759490303"	"0.439992374439801"	"0.248412816752666"
"CBL"	"0.711860383319504"	"-0.497244668870151"	"3.17370781872851"	"0.283266157766348"
"SRSF2"	"-0.355120806957312"	"-1.18879496346816"	"0.475724087000696"	"0.389686424491322"
"DNMT3A"	"0.224592000731673"	"-0.357766167625367"	"0.834867492695179"	"0.452337572825286"
"KIT"	"0.526956054875101"	"-0.764142126206967"	"3.00140177272524"	"0.461181175297753"
"NF1"	"0.526956054875101"	"-0.764142126206968"	"3.00140177272522"	"0.461181175297753"
"SMC1A"	"0.526956054875101"	"-0.764142126206967"	"3.00140177272525"	"0.461181175297753"
"U2AF1"	"0.526956054875101"	"-0.764142126206967"	"3.00140177272523"	"0.461181175297753"
