"geneA"	"geneB"	"genePair"	"beta"	"loCI"	"hiCI"	"pvalue"
"IDH2"	"SRSF2"	"IDH2_SRSF2"	2.69046733052812	1.26853848078179	4.1841525584612	0.000323901731571818
"CBL"	"chr8gain"	"CBL_chr8gain"	4.35242616489759	1.50425119503146	7.44096112035426	0.00501873728000668
"CBL"	"IDH1"	"CBL_IDH1"	4.35242616489759	1.50425119503145	7.44096112035425	0.00501873728000668
"CBL"	"NPM1"	"CBL_NPM1"	4.35242616489759	1.50425119503145	7.44096112035425	0.00501873728000668
"IDH1"	"JAK2"	"IDH1_JAK2"	4.35242616489759	1.50425119503145	7.44096112035426	0.00501873728000668
"IDH1"	"NPM1"	"IDH1_NPM1"	4.35242616489759	1.50425119503145	7.44096112035426	0.00501873728000668
"MYCN"	"U2AF1"	"MYCN_U2AF1"	4.35242616489759	1.50425119503146	7.44096112035424	0.00501873728000668
"MYCN"	"ZRSR2"	"MYCN_ZRSR2"	4.35242616489759	1.50425119503145	7.44096112035424	0.00501873728000668
"U2AF1"	"ZRSR2"	"U2AF1_ZRSR2"	4.35242616489759	1.50425119503145	7.44096112035424	0.00501873728000668
"ASXL1"	"SRSF2"	"ASXL1_SRSF2"	1.95713991333305	0.524500474470855	3.36266873337778	0.00884593091294605
"BCORL1"	"MYC"	"BCORL1_MYC"	3.83297979808769	1.10000405684779	6.65032199942163	0.00929760508689259
"CBL"	"STAG2"	"CBL_STAG2"	3.83297979808761	1.10000405684776	6.65032199942164	0.00929760508689259
"chr8gain"	"STAG2"	"chr8gain_STAG2"	3.83297979808761	1.10000405684776	6.65032199942164	0.0092976050868927
"RUNX1"	"SRSF2"	"RUNX1_SRSF2"	2.67184715243825	0.6850916647763	4.67706380189193	0.0108005495389708
"CBL"	"TET2"	"CBL_TET2"	3.16886540429329	0.61325234106453	8.11028370973816	0.014155489246409
"chr8gain"	"RUNX1"	"chr8gain_RUNX1"	3.48781185449893	0.810271427758447	6.20823219694681	0.0145139543571685
"ATM"	"CDKN2A"	"ATM_CDKN2A"	3.48781185449893	0.810271427758427	6.20823219694683	0.0145139543571687
"ATM"	"MYCN"	"ATM_MYCN"	3.48781185449893	0.810271427758425	6.20823219694683	0.0145139543571687
"ASXL1"	"STAG2"	"ASXL1_STAG2"	2.54770755102703	0.459659029008511	4.9944065850364	0.0184855647558251
"NF1"	"TP53"	"NF1_TP53"	3.22772544014518	0.582912388835794	5.89849409266073	0.0205884799445086
"IDH2"	"RUNX1"	"IDH2_RUNX1"	2.20684003603565	0.256246427369042	4.16537595966555	0.0285918794292799
"DNMT3A"	"JAK2"	"DNMT3A_JAK2"	2.75377245044031	0.20794709424742	7.69197631050407	0.0331760135329687
"DNMT3A"	"NF1"	"DNMT3A_NF1"	2.75377245044031	0.207947094247418	7.69197631050433	0.0331760135329687
"DNMT3A"	"NRAS"	"DNMT3A_NRAS"	2.75377245044031	0.207947094247417	7.691976310504	0.0331760135329687
"STAG2"	"TP53"	"STAG2_TP53"	2.70805020110221	0.180763307876316	4.95075443300796	0.0379832146794609
"ASXL1"	"IDH2"	"ASXL1_IDH2"	1.36956481028726	0.0160580807682031	2.62335936858636	0.047540398401724
"FLT3"	"MYC"	"FLT3_MYC"	2.55585838576029	-0.0316224414137805	5.15063802323067	0.0524281975837075
"FLT3"	"MYCN"	"FLT3_MYCN"	2.55585838576029	-0.0316224414137802	5.15063802323068	0.0524281975837075
"FLT3"	"U2AF1"	"FLT3_U2AF1"	2.55585838576029	-0.0316224414137848	5.15063802323068	0.0524281975837076
"FLT3"	"ZRSR2"	"FLT3_ZRSR2"	2.55585838576029	-0.0316224414137819	5.15063802323068	0.0524281975837076
"CDKN2A"	"FLT3"	"CDKN2A_FLT3"	2.55585838576028	-0.0316224414138732	5.15063802323073	0.0524281975837083
"DNMT3A"	"TET2"	"DNMT3A_TET2"	0.917839918860984	-0.0593365498598874	1.87451275273055	0.0651596648030444
"DNMT3A"	"SRSF2"	"DNMT3A_SRSF2"	-1.97390847833622	-6.84424179016886	0.143476808253362	0.0730514234470463
"chr8gain"	"IDH2"	"chr8gain_IDH2"	2.1329823086062	-0.432782260769976	4.70211040224136	0.0946703951016831
"IDH2"	"NF1"	"IDH2_NF1"	2.13298230860787	-0.432782260769986	4.70211040224132	0.0946703951016851
"IDH2"	"NPM1"	"IDH2_NPM1"	2.13298230860787	-0.432782260769974	4.70211040224133	0.0946703951016851
"IDH2"	"NRAS"	"IDH2_NRAS"	2.13298230860787	-0.432782260769982	4.70211040224132	0.0946703951016851
"SRSF2"	"STAG2"	"SRSF2_STAG2"	2.03585838571823	-0.433379155377403	4.17094596471311	0.0955309776587832
"BCOR"	"SRSF2"	"BCOR_SRSF2"	2.03585838571825	-0.433379155377325	4.17094596471313	0.0955309776587846
"ASXL1"	"TET2"	"ASXL1_TET2"	0.962810747509048	-0.249709373422732	2.09382809986914	0.114909415622322
"ASXL1"	"CBL"	"ASXL1_CBL"	1.96542296327889	-0.593893616200287	4.52722892759898	0.119186426281008
"ASXL1"	"chr8gain"	"ASXL1_chr8gain"	1.96542296327889	-0.59389361620029	4.52722892759896	0.119186426281009
"ASXL1"	"IDH1"	"ASXL1_IDH1"	1.96542296327889	-0.593893616200266	4.52722892759897	0.119186426281009
"ASXL1"	"JAK2"	"ASXL1_JAK2"	1.96542296327889	-0.593893616200273	4.52722892759897	0.119186426281009
"ASXL1"	"ZRSR2"	"ASXL1_ZRSR2"	1.96542296327889	-0.593893616200284	4.52722892759897	0.119186426281009
"ATM"	"FLT3"	"ATM_FLT3"	1.69012682368424	-0.722121373822026	3.63487613724226	0.145957830112882
"IDH2"	"STAG2"	"IDH2_STAG2"	1.61263280333061	-0.834611896134096	3.71162797068472	0.169829960379279
"BCOR"	"IDH2"	"BCOR_IDH2"	1.61263280332931	-0.834611896134176	3.71162797068473	0.169829960379281
"FLT3"	"TET2"	"FLT3_TET2"	-1.57495173636256	-6.44785947579873	0.555465978961765	0.178678264455508
"SRSF2"	"TP53"	"SRSF2_TP53"	1.4294665329525	-0.949110318313025	3.27114566011087	0.202049066165112
"ASXL1"	"BCORL1"	"ASXL1_BCORL1"	1.44488852538594	-0.995826290011197	3.53361077208494	0.211990965653044
"TET2"	"U2AF1"	"TET2_U2AF1"	1.50149007321132	-1.04471758505549	4.04879912082031	0.220275635139235
"IDH1"	"TET2"	"IDH1_TET2"	1.50149007321132	-1.0447175850556	4.04879912082016	0.220275635139242
"JAK2"	"TET2"	"JAK2_TET2"	1.50149007321132	-1.04471758505561	4.04879912082016	0.220275635139242
"NPM1"	"TET2"	"NPM1_TET2"	1.50149007321132	-1.0447175850556	4.04879912082016	0.220275635139242
"chr8gain"	"TET2"	"chr8gain_TET2"	1.50149007321132	-1.04471758505535	4.04879912082014	0.220275635139244
"CBL"	"CDKN2A"	"CBL_CDKN2A"	2.22354188565351	-2.79842545665102	5.12194731295978	0.27612283248699
"CBL"	"JAK2"	"CBL_JAK2"	2.22354188565351	-2.79842545665102	5.12194731295978	0.27612283248699
"CBL"	"MYCN"	"CBL_MYCN"	2.22354188565351	-2.79842545665102	5.12194731295982	0.27612283248699
"CBL"	"NF1"	"CBL_NF1"	2.22354188565351	-2.79842545665101	5.12194731295979	0.27612283248699
"CBL"	"NRAS"	"CBL_NRAS"	2.22354188565351	-2.79842545665101	5.12194731295979	0.27612283248699
"CBL"	"U2AF1"	"CBL_U2AF1"	2.22354188565351	-2.79842545665101	5.1219473129598	0.27612283248699
"CBL"	"ZRSR2"	"CBL_ZRSR2"	2.22354188565351	-2.79842545665101	5.12194731295981	0.27612283248699
"CDKN2A"	"IDH1"	"CDKN2A_IDH1"	2.22354188565351	-2.79842545665102	5.12194731295979	0.27612283248699
"CDKN2A"	"JAK2"	"CDKN2A_JAK2"	2.22354188565351	-2.79842545665101	5.12194731295979	0.27612283248699
