"geneA"	"geneB"	"genePair"	"beta"	"loCI"	"hiCI"	"pvalue"
"DNMT3A"	"NPM1"	"DNMT3A_NPM1"	2.75722003041155	1.63574903430118	4.02449817502077	3.85260613522398e-07
"FLT3"	"WT1"	"FLT3_WT1"	3.30557268699441	1.15421196787886	8.18292216804196	0.000682335393910938
"chr17loss"	"TP53"	"chr17loss_TP53"	4.14601657276642	1.49322349827337	9.12273385491957	0.00199270667109874
"chr7loss"	"TP53"	"chr7loss_TP53"	4.14601657276642	1.49322349827336	9.12273385491956	0.00199270667109874
"CBL"	"TET2"	"CBL_TET2"	3.44586382864773	1.03196158811419	8.36975224561702	0.00361570768095221
"FLT3"	"NPM1"	"FLT3_NPM1"	1.37466399140181	0.417142777253196	2.38893442812639	0.00462700124368709
"chr11qdel"	"chr13gain"	"chr11qdel_chr13gain"	3.89182029811034	1.04057369623525	6.9830405973911	0.0103890650727951
"chr11qdel"	"chr17loss"	"chr11qdel_chr17loss"	3.89182029811034	1.04057369623527	6.9830405973911	0.0103890650727951
"chr11qdel"	"chr21gain"	"chr11qdel_chr21gain"	3.89182029811034	1.04057369623526	6.9830405973911	0.0103890650727951
"chr13gain"	"chr17loss"	"chr13gain_chr17loss"	3.89182029811034	1.04057369623527	6.9830405973911	0.0103890650727951
"chr13gain"	"chr21gain"	"chr13gain_chr21gain"	3.89182029811034	1.04057369623525	6.9830405973911	0.0103890650727951
"chr17loss"	"chr7loss"	"chr17loss_chr7loss"	3.89182029811034	1.04057369623526	6.9830405973911	0.0103890650727951
"chr17loss"	"MYC"	"chr17loss_MYC"	3.89182029811034	1.04057369623527	6.9830405973911	0.0103890650727951
"chr17loss"	"NF1"	"chr17loss_NF1"	3.89182029811034	1.04057369623527	6.9830405973911	0.0103890650727951
"chr7loss"	"MYC"	"chr7loss_MYC"	3.89182029811034	1.04057369623527	6.9830405973911	0.0103890650727951
"chr7loss"	"NF1"	"chr7loss_NF1"	3.89182029811034	1.04057369623527	6.9830405973911	0.0103890650727951
"SRSF2"	"ZRSR2"	"SRSF2_ZRSR2"	3.89182029811034	1.04057369623526	6.9830405973911	0.0103890650727951
"chr17loss"	"chr21gain"	"chr17loss_chr21gain"	3.89182029811034	1.04057369623526	6.9830405973911	0.0103890650727952
"MYC"	"NF1"	"MYC_NF1"	3.89182029811034	1.04057369623527	6.9830405973911	0.0103890650727952
"NPM1"	"TET2"	"NPM1_TET2"	1.39013313742705	0.286192385728832	2.56303540684116	0.0134838103485908
"ABL1"	"PHF6"	"ABL1_PHF6"	3.36729582998647	0.631128480146672	6.18766567070047	0.0193014746394862
"BCOR"	"chr8gain"	"BCOR_chr8gain"	3.36729582998647	0.631128480146696	6.18766567070048	0.0193014746394862
"inv.16."	"NF1"	"inv.16._NF1"	3.36729582998626	0.631128480146698	6.18766567070047	0.0193014746394862
"NF1"	"SF3B1"	"NF1_SF3B1"	3.36729582998647	0.631128480146692	6.18766567070048	0.0193014746394862
"DNMT3A"	"FLT3"	"DNMT3A_FLT3"	1.17131871889654	0.187619313843205	2.21199464137645	0.0193272057487748
"IDH2"	"RUNX1"	"IDH2_RUNX1"	2.5528096029109	0.425998674103486	5.03336676579411	0.0201410933180787
"chr11qdel"	"NRAS"	"chr11qdel_NRAS"	3.01693448120253	0.336102631666413	5.74053304484715	0.0301784971144601
"EZH2"	"SRSF2"	"EZH2_SRSF2"	3.01693448120443	0.336102631666396	5.74053304484715	0.0301784971144602
