"geneA"	"geneB"	"genePair"	"beta"	"loCI"	"hiCI"	"pvalue"
"DNMT3A"	"NPM1"	"DNMT3A_NPM1"	2.25899554040676	1.56097083664338	2.99551461175732	5.21113152629482e-11
"chr17loss"	"TP53"	"chr17loss_TP53"	5.07878570555013	2.73784759266946	9.993487502337	3.52351403343221e-06
"chr17loss"	"chr5qdel"	"chr17loss_chr5qdel"	4.7621739347973	2.70822936024631	7.30910964780716	1.36709991305217e-05
"FLT3"	"NPM1"	"FLT3_NPM1"	1.3372382041307	0.695007518159809	1.9991334014334	3.94079528446278e-05
"chr5loss"	"TP53"	"chr5loss_TP53"	4.72738781871233	2.3058501597666	9.65404826288404	6.43991425234303e-05
"chr5qdel"	"TP53"	"chr5qdel_TP53"	3.45747821756067	1.82659514409949	5.31376657559056	6.84342444640107e-05
"inv.16."	"KIT"	"inv.16._KIT"	2.89942159340654	1.42261837712468	4.37401064139604	0.000291620636220014
"chr21gain"	"chr22gain"	"chr21gain_chr22gain"	4.17438726989561	1.98107787099448	6.72642565323877	0.000499470812881819
"chr17loss"	"EZH2"	"chr17loss_EZH2"	3.9148760744101	1.82380834231014	6.08718897529655	0.000705251440076937
"chr5qdel"	"chr7qdel"	"chr5qdel_chr7qdel"	3.65784734486621	1.60944910842331	5.75629592756546	0.00117487013548101
"FLT3"	"TP53"	"FLT3_TP53"	-2.95129193165689	-7.80894637720154	-0.903624233467259	0.00126471125988603
"IDH1"	"PHF6"	"IDH1_PHF6"	2.86071830096924	1.22011000516963	4.46379117665809	0.00130936946416627
"IDH2"	"SRSF2"	"IDH2_SRSF2"	1.8231756654608	0.707261731272811	2.9456414083027	0.00175919403692981
"chr21gain"	"TP53"	"chr21gain_TP53"	2.76362005225702	1.10758444855363	4.43389966664506	0.00190122401552206
"EZH2"	"SMC1A"	"EZH2_SMC1A"	3.31562796598943	1.33950448520526	5.23129261923742	0.00221569952095724
"DNMT3A"	"SRSF2"	"DNMT3A_SRSF2"	-2.73130706326646	-7.58819285535907	-0.688366706910719	0.00362451839879929
"CBL"	"TET2"	"CBL_TET2"	3.34965696012643	0.984251077576048	8.25959969802112	0.00391734505202557
"chr22gain"	"TP53"	"chr22gain_TP53"	3.1954143381892	1.10040700848129	5.64860078104378	0.00413025861141936
"BRAF"	"SETBP1"	"BRAF_SETBP1"	4.26829786934551	1.53721584324802	7.08383176075267	0.00466145382236272
"chr11qdel"	"chr13gain"	"chr11qdel_chr13gain"	4.26829786934554	1.53721584324799	7.08383176075272	0.00466145382236272
"chr11qdel"	"chr22gain"	"chr11qdel_chr22gain"	4.26829786934554	1.53721584324798	7.08383176075272	0.00466145382236272
"NPM1"	"TP53"	"NPM1_TP53"	-2.65083902934194	-7.50894218853943	-0.600792422300882	0.00556347831116744
"chr13gain"	"chr22gain"	"chr13gain_chr22gain"	3.75185425327532	1.13730457050137	6.20006455949411	0.00861675402488982
"chr22gain"	"chr5loss"	"chr22gain_chr5loss"	3.75185425327532	1.13730457050149	6.20006455949412	0.00861675402488982
"chr7qdel"	"TP53"	"chr7qdel_TP53"	2.67863631589592	0.731285166083645	4.63400571052574	0.00953857945051384
"CSF3R"	"MYC"	"CSF3R_MYC"	3.66924347959708	1.02640498794916	6.33807961650128	0.0102872887506577
"chr21gain"	"inv.16."	"chr21gain_inv.16."	2.53016324136275	0.663899515951874	4.22000593297014	0.0109556119185282
"NPM1"	"PTPN11"	"NPM1_PTPN11"	1.80280930541436	0.401422160609903	3.52273580628521	0.0112155527995632
"chr13gain"	"chr8gain"	"chr13gain_chr8gain"	2.73930274459245	0.668015644608351	5.17226731885997	0.0114037555845481
"chr22gain"	"chr8gain"	"chr22gain_chr8gain"	2.73930274459245	0.668015644608359	5.17226731886001	0.0114037555845481
"DNMT3A"	"FLT3"	"DNMT3A_FLT3"	0.803272156589396	0.172081097996215	1.44210823055908	0.0126269003804688
"chr17loss"	"chr5loss"	"chr17loss_chr5loss"	3.40973228411199	0.851314551484625	5.72056221256004	0.0134229201429725
"CBL"	"SF3B1"	"CBL_SF3B1"	3.40973228411148	0.851314551484647	5.72056221256002	0.0134229201429726
