A	B	Neither	A Not B	B Not A	Both	Log2 Odds Ratio	p-Value	q-Value	Tendency
IDH2	SRSF2	102	8	4	5	>3	<0.001	0.853	Co-occurrence
BIRC3	MYD88	118	0	0	1	>3	0.008	1.000	Co-occurrence
EZH2	PHF6	118	0	0	1	>3	0.008	1.000	Co-occurrence
MAP2K1	WT1	118	0	0	1	>3	0.008	1.000	Co-occurrence
inv(16)	RAD21	118	0	0	1	>3	0.008	1.000	Co-occurrence
KRAS	t(11;19)	118	0	0	1	>3	0.008	1.000	Co-occurrence
ASXL1	SRSF2	99	11	5	4	2.848	0.015	1.000	Co-occurrence
IDH1	SF3B1	117	1	0	1	>3	0.017	1.000	Co-occurrence
CBL	SF3B1	117	1	0	1	>3	0.017	1.000	Co-occurrence
NPM1	SF3B1	117	1	0	1	>3	0.017	1.000	Co-occurrence
NOTCH1	ZRSR2	117	0	1	1	>3	0.017	1.000	Co-occurrence
CDKN2A	PRPF40B	117	1	0	1	>3	0.017	1.000	Co-occurrence
CSF1R	RAD21	116	2	0	1	>3	0.025	1.000	Co-occurrence
MPL	STAG2	116	0	2	1	>3	0.025	1.000	Co-occurrence
BCOR	SF1	116	2	0	1	>3	0.025	1.000	Co-occurrence
CSF1R	inv(16)	116	2	0	1	>3	0.025	1.000	Co-occurrence
BCORL1	t(8;21)	116	2	0	1	>3	0.025	1.000	Co-occurrence
chr5qdel	STAG2	116	0	2	1	>3	0.025	1.000	Co-occurrence
RUNX1	SRSF2	108	2	7	2	>3	0.028	1.000	Co-occurrence
CBL	TET2	97	0	20	2	>3	0.033	1.000	Co-occurrence
IDH1	JAK2	116	1	1	1	>3	0.033	1.000	Co-occurrence
CBL	IDH1	116	1	1	1	>3	0.033	1.000	Co-occurrence
IDH1	NPM1	116	1	1	1	>3	0.033	1.000	Co-occurrence
CBL	NPM1	116	1	1	1	>3	0.033	1.000	Co-occurrence
MYCN	ZRSR2	116	1	1	1	>3	0.033	1.000	Co-occurrence
MYCN	U2AF1	116	1	1	1	>3	0.033	1.000	Co-occurrence
U2AF1	ZRSR2	116	1	1	1	>3	0.033	1.000	Co-occurrence
CBL	chr8gain	116	1	1	1	>3	0.033	1.000	Co-occurrence
BIRC3	RUNX1	115	0	3	1	>3	0.034	1.000	Co-occurrence
MYD88	RUNX1	115	0	3	1	>3	0.034	1.000	Co-occurrence
ASXL1	STAG2	103	13	1	2	>3	0.042	1.000	Co-occurrence
chr5qdel	TP53	114	0	4	1	>3	0.042	1.000	Co-occurrence
chr8gain	STAG2	115	1	2	1	>3	0.050	1.000	Co-occurrence
CBL	STAG2	115	1	2	1	>3	0.050	1.000	Co-occurrence
BCORL1	MYC	115	2	1	1	>3	0.050	1.000	Co-occurrence
IDH2	RUNX1	104	11	2	2	>3	0.059	1.000	Co-occurrence
ASXL1	IDH2	95	11	9	4	1.940	0.059	1.000	Co-occurrence
DNMT3A	JAK2	89	28	0	2	>3	0.062	1.000	Co-occurrence
DNMT3A	NRAS	89	28	0	2	>3	0.062	1.000	Co-occurrence
DNMT3A	NF1	89	28	0	2	>3	0.062	1.000	Co-occurrence
ATM	MYCN	114	3	1	1	>3	0.066	1.000	Co-occurrence
ATM	CDKN2A	114	3	1	1	>3	0.066	1.000	Co-occurrence
chr8gain	RUNX1	114	1	3	1	>3	0.066	1.000	Co-occurrence
BIRC3	SRSF2	110	0	8	1	>3	0.076	1.000	Co-occurrence
MYD88	SRSF2	110	0	8	1	>3	0.076	1.000	Co-occurrence
ABL1	FLT3	110	0	8	1	>3	0.076	1.000	Co-occurrence
FLT3	MAP2K1	110	8	0	1	>3	0.076	1.000	Co-occurrence
FLT3	WT1	110	8	0	1	>3	0.076	1.000	Co-occurrence
MPL	SRSF2	110	0	8	1	>3	0.076	1.000	Co-occurrence
SMC1A	SRSF2	110	0	8	1	>3	0.076	1.000	Co-occurrence
FLT3	IL7R	110	8	0	1	>3	0.076	1.000	Co-occurrence
