"A"	"B"	"Neither"	"A.Not.B"	"B.Not.A"	"Both"	"or"	"pval"	"logor"	"nlp"	"adjp"
"IDH2"	"SRSF2"	102	8	4	5	15.1560809048878	0.000696227459340894	2.71840183128461	3.15724885205855	0.852878637692595
"BIRC3"	"MYD88"	118	0	0	1	Inf	0.0084033613445378	Inf	2.07554696139253	1
"EZH2"	"PHF6"	118	0	0	1	Inf	0.0084033613445378	Inf	2.07554696139253	1
"MAP2K1"	"WT1"	118	0	0	1	Inf	0.0084033613445378	Inf	2.07554696139253	1
"inv(16)"	"RAD21"	118	0	0	1	Inf	0.0084033613445378	Inf	2.07554696139253	1
"KRAS"	"t(11;19)"	118	0	0	1	Inf	0.0084033613445378	Inf	2.07554696139253	1
"ASXL1"	"SRSF2"	99	11	5	4	6.99753720409544	0.0145035703444183	1.94555825916296	1.83852507431603	1
"IDH1"	"SF3B1"	117	1	0	1	Inf	0.0168067226890756	Inf	1.77451696572855	1
"CBL"	"SF3B1"	117	1	0	1	Inf	0.0168067226890756	Inf	1.77451696572855	1
"NPM1"	"SF3B1"	117	1	0	1	Inf	0.0168067226890756	Inf	1.77451696572855	1
"NOTCH1"	"ZRSR2"	117	0	1	1	Inf	0.0168067226890756	Inf	1.77451696572855	1
"CDKN2A"	"PRPF40B"	117	1	0	1	Inf	0.0168067226890756	Inf	1.77451696572855	1
"CSF1R"	"RAD21"	116	2	0	1	Inf	0.0252100840336134	Inf	1.59842570667287	1
"MPL"	"STAG2"	116	0	2	1	Inf	0.0252100840336135	Inf	1.59842570667287	1
"BCOR"	"SF1"	116	2	0	1	Inf	0.0252100840336134	Inf	1.59842570667287	1
"CSF1R"	"inv(16)"	116	2	0	1	Inf	0.0252100840336134	Inf	1.59842570667287	1
"BCORL1"	"t(8;21)"	116	2	0	1	Inf	0.0252100840336134	Inf	1.59842570667287	1
"chr5qdel"	"STAG2"	116	0	2	1	Inf	0.0252100840336135	Inf	1.59842570667287	1
"RUNX1"	"SRSF2"	108	2	7	2	14.5565797344045	0.0283582749289079	2.67804310682191	1.54732019138893	1
"CBL"	"TET2"	97	0	20	2	Inf	0.032901296111665	Inf	1.48278699314253	1
"IDH1"	"JAK2"	116	1	1	1	82.2956707866993	0.0334710155248541	4.41031850346469	1.47533111076294	1
"CBL"	"IDH1"	116	1	1	1	82.2956707866993	0.0334710155248541	4.41031850346469	1.47533111076294	1
"IDH1"	"NPM1"	116	1	1	1	82.2956707866993	0.0334710155248541	4.41031850346469	1.47533111076294	1
"CBL"	"NPM1"	116	1	1	1	82.2956707866993	0.0334710155248541	4.41031850346469	1.47533111076294	1
"MYCN"	"ZRSR2"	116	1	1	1	82.2956707866993	0.0334710155248541	4.41031850346469	1.47533111076294	1
"MYCN"	"U2AF1"	116	1	1	1	82.2956707866993	0.0334710155248541	4.41031850346469	1.47533111076294	1
"U2AF1"	"ZRSR2"	116	1	1	1	82.2956707866993	0.0334710155248541	4.41031850346469	1.47533111076294	1
