"A"	"B"	"Neither"	"A.Not.B"	"B.Not.A"	"Both"	"or"	"pval"	"logor"	"nlp"	"adjp"
"DNMT3A"	"NPM1"	44	5	9	18	16.6787246009502	5.52387248896689e-07	2.8141339312344	6.25775635507118	0.00073246549203701
"FLT3"	"WT1"	42	26	0	8	Inf	0.000962893302124133	Inf	3.01642183423163	0.6383982593083
"chr7loss"	"TP53"	69	0	5	2	Inf	0.00736842105263158	Inf	2.13262556527459	1
"chr17loss"	"TP53"	69	0	5	2	Inf	0.00736842105263158	Inf	2.13262556527459	1
"FLT3"	"NPM1"	33	16	9	18	4.04195914535241	0.00749845507256054	1.39672951139754	2.12502820628515	1
"CBL"	"TET2"	60	0	13	3	Inf	0.00796586059743955	Inf	2.09876729801362	1
"CDH2"	"CSF3R"	75	0	0	1	Inf	0.0131578947368421	Inf	1.88081359228079	1
"SETBP1"	"STAG2"	75	0	0	1	Inf	0.0131578947368421	Inf	1.88081359228079	1
"MYCN"	"U2AF1"	75	0	0	1	Inf	0.0131578947368421	Inf	1.88081359228079	1
"NPM1"	"TET2"	43	17	6	10	4.12606488456403	0.0178022304660792	1.41732414030438	1.7495255809257	1
"DNMT3A"	"FLT3"	34	8	19	15	3.29884025685786	0.0243473840016873	1.19357096938807	1.61354769459984	1
"MYCN"	"ZRSR2"	74	0	1	1	Inf	0.0263157894736842	Inf	1.57978359661681	1
"U2AF1"	"ZRSR2"	74	0	1	1	Inf	0.0263157894736842	Inf	1.57978359661681	1
"RAD21"	"U2AF2"	74	0	1	1	Inf	0.0263157894736842	Inf	1.57978359661681	1
"BCOR"	"POT1"	74	1	0	1	Inf	0.0263157894736842	Inf	1.57978359661681	1
"chr5loss"	"MYC"	74	0	1	1	Inf	0.0263157894736842	Inf	1.57978359661681	1
"chr5loss"	"NF1"	74	0	1	1	Inf	0.0263157894736842	Inf	1.57978359661681	1
"chr5loss"	"chr7loss"	74	0	1	1	Inf	0.0263157894736842	Inf	1.57978359661681	1
"NOTCH2"	"U2AF2"	74	0	1	1	Inf	0.0263157894736842	Inf	1.57978359661681	1
"chr17loss"	"chr5loss"	74	1	0	1	Inf	0.0263157894736842	Inf	1.57978359661681	1
"JAK2"	"RUNX1"	73	0	2	1	Inf	0.0394736842105264	Inf	1.40369233756113	1
"ATM"	"CDKN2A"	73	2	0	1	Inf	0.0394736842105264	Inf	1.40369233756113	1
"CDH2"	"t(8;21)"	73	0	2	1	Inf	0.0394736842105264	Inf	1.40369233756113	1
"CSF3R"	"t(8;21)"	73	0	2	1	Inf	0.0394736842105264	Inf	1.40369233756113	1
"PTEN"	"t(8;21)"	73	0	2	1	Inf	0.0394736842105264	Inf	1.40369233756113	1
"chr8gain"	"POT1"	73	2	0	1	Inf	0.0394736842105264	Inf	1.40369233756113	1
"IDH2"	"RUNX1"	65	8	1	2	15.1372058808302	0.0439544807965861	2.71715567885264	1.35699684559499	1
"NPM1"	"TP53"	42	27	7	0	0	0.0463331786349344	-Inf	1.33410790449664	1
"SRSF2"	"ZRSR2"	73	1	1	1	51.9715853955633	0.0522807017543859	3.95069713453087	1.28165859159624	1
"MYC"	"NF1"	73	1	1	1	51.9715853955633	0.0522807017543859	3.95069713453087	1.28165859159624	1
"chr7loss"	"MYC"	73	1	1	1	51.9715853955633	0.0522807017543859	3.95069713453087	1.28165859159624	1
"chr7loss"	"NF1"	73	1	1	1	51.9715853955633	0.0522807017543859	3.95069713453087	1.28165859159624	1
"chr11qdel"	"chr13gain"	73	1	1	1	51.9715853955633	0.0522807017543859	3.95069713453087	1.28165859159624	1
"chr11qdel"	"chr21gain"	73	1	1	1	51.9715853955633	0.0522807017543859	3.95069713453087	1.28165859159624	1
"chr13gain"	"chr21gain"	73	1	1	1	51.9715853955633	0.0522807017543859	3.95069713453087	1.28165859159624	1
"chr17loss"	"MYC"	73	1	1	1	51.9715853955633	0.0522807017543859	3.95069713453087	1.28165859159624	1
"chr17loss"	"NF1"	73	1	1	1	51.9715853955633	0.0522807017543859	3.95069713453087	1.28165859159624	1
"chr11qdel"	"chr17loss"	73	1	1	1	51.9715853955633	0.0522807017543859	3.95069713453087	1.28165859159624	1
"chr17loss"	"chr7loss"	73	1	1	1	51.9715853955633	0.0522807017543859	3.95069713453087	1.28165859159624	1
"chr13gain"	"chr17loss"	73	1	1	1	51.9715853955633	0.0522807017543859	3.95069713453087	1.28165859159624	1
"chr17loss"	"chr21gain"	73	1	1	1	51.9715853955633	0.0522807017543859	3.95069713453087	1.28165859159624	1
