A	B	Neither	A Not B	B Not A	Both	Log2 Odds Ratio	p-Value	q-Value	Tendency
NPM1	DNMT3A	44	9	5	18	>3	<0.001	<0.001	Co-occurrence
FLT3	WT1	42	26	0	8	>3	<0.001	0.638	Co-occurrence
TP53	chr7loss	69	5	0	2	>3	0.007	1.000	Co-occurrence
TP53	chr17loss	69	5	0	2	>3	0.007	1.000	Co-occurrence
FLT3	NPM1	33	16	9	18	2.044	0.007	1.000	Co-occurrence
TET2	CBL	60	13	0	3	>3	0.008	1.000	Co-occurrence
CDH2	CSF3R	75	0	0	1	>3	0.013	1.000	Co-occurrence
SETBP1	STAG2	75	0	0	1	>3	0.013	1.000	Co-occurrence
MYCN	U2AF1	75	0	0	1	>3	0.013	1.000	Co-occurrence
NPM1	TET2	43	17	6	10	2.076	0.018	1.000	Co-occurrence
FLT3	DNMT3A	34	19	8	15	1.746	0.024	1.000	Co-occurrence
ZRSR2	MYCN	74	1	0	1	>3	0.026	1.000	Co-occurrence
ZRSR2	U2AF1	74	1	0	1	>3	0.026	1.000	Co-occurrence
U2AF2	RAD21	74	1	0	1	>3	0.026	1.000	Co-occurrence
BCOR	POT1	74	1	0	1	>3	0.026	1.000	Co-occurrence
MYC	chr5loss	74	1	0	1	>3	0.026	1.000	Co-occurrence
NF1	chr5loss	74	1	0	1	>3	0.026	1.000	Co-occurrence
chr7loss	chr5loss	74	1	0	1	>3	0.026	1.000	Co-occurrence
NOTCH2	U2AF2	74	0	1	1	>3	0.026	1.000	Co-occurrence
chr5loss	chr17loss	74	0	1	1	>3	0.026	1.000	Co-occurrence
RUNX1	JAK2	73	2	0	1	>3	0.039	1.000	Co-occurrence
ATM	CDKN2A	73	2	0	1	>3	0.039	1.000	Co-occurrence
CDH2	t(8;21)	73	0	2	1	>3	0.039	1.000	Co-occurrence
CSF3R	t(8;21)	73	0	2	1	>3	0.039	1.000	Co-occurrence
PTEN	t(8;21)	73	0	2	1	>3	0.039	1.000	Co-occurrence
POT1	chr8gain	73	0	2	1	>3	0.039	1.000	Co-occurrence
IDH2	RUNX1	65	8	1	2	>3	0.044	1.000	Co-occurrence
NPM1	TP53	42	27	7	0	<-3	0.046	1.000	Mutual exclusivity
SRSF2	ZRSR2	73	1	1	1	>3	0.052	1.000	Co-occurrence
MYC	NF1	73	1	1	1	>3	0.052	1.000	Co-occurrence
MYC	chr7loss	73	1	1	1	>3	0.052	1.000	Co-occurrence
NF1	chr7loss	73	1	1	1	>3	0.052	1.000	Co-occurrence
chr11qdel	chr13gain	73	1	1	1	>3	0.052	1.000	Co-occurrence
chr11qdel	chr21gain	73	1	1	1	>3	0.052	1.000	Co-occurrence
chr13gain	chr21gain	73	1	1	1	>3	0.052	1.000	Co-occurrence
MYC	chr17loss	73	1	1	1	>3	0.052	1.000	Co-occurrence
NF1	chr17loss	73	1	1	1	>3	0.052	1.000	Co-occurrence
chr11qdel	chr17loss	73	1	1	1	>3	0.052	1.000	Co-occurrence
chr7loss	chr17loss	73	1	1	1	>3	0.052	1.000	Co-occurrence
chr13gain	chr17loss	73	1	1	1	>3	0.052	1.000	Co-occurrence
chr21gain	chr17loss	73	1	1	1	>3	0.052	1.000	Co-occurrence
IDH1	KRAS	72	3	0	1	>3	0.053	1.000	Co-occurrence
EZH2	KRAS	72	3	0	1	>3	0.053	1.000	Co-occurrence
NRAS	NOTCH2	72	3	0	1	>3	0.053	1.000	Co-occurrence
ETV6	PTEN	72	3	0	1	>3	0.053	1.000	Co-occurrence
NOTCH1	JAK2	72	3	0	1	>3	0.053	1.000	Co-occurrence
NRAS	chr5qdel	72	3	0	1	>3	0.053	1.000	Co-occurrence
ABL1	PHF6	72	1	2	1	>3	0.078	1.000	Co-occurrence
BCOR	chr8gain	72	1	2	1	>3	0.078	1.000	Co-occurrence
NF1	inv(16)	72	1	2	1	>3	0.078	1.000	Co-occurrence
SF3B1	NF1	72	2	1	1	>3	0.078	1.000	Co-occurrence
ETV6	IDH2	64	2	8	2	3.000	0.082	1.000	Co-occurrence
IDH2	NOTCH1	64	8	2	2	3.000	0.082	1.000	Co-occurrence
TP53	KRAS	69	6	0	1	>3	0.092	1.000	Co-occurrence
TP53	chr5loss	69	6	0	1	>3	0.092	1.000	Co-occurrence
ASXL1	NOTCH1	63	9	2	2	2.807	0.098	1.000	Co-occurrence
SRSF2	EZH2	71	1	3	1	>3	0.103	1.000	Co-occurrence
NRAS	U2AF2	71	3	1	1	>3	0.103	1.000	Co-occurrence
SRSF2	NOTCH1	71	1	3	1	>3	0.103	1.000	Co-occurrence
EZH2	ZRSR2	71	3	1	1	>3	0.103	1.000	Co-occurrence
NOTCH1	ZRSR2	71	3	1	1	>3	0.103	1.000	Co-occurrence
NOTCH1	NF1	71	3	1	1	>3	0.103	1.000	Co-occurrence
NRAS	chr11qdel	71	3	1	1	>3	0.103	1.000	Co-occurrence
WT1	chr22gain	68	7	0	1	>3	0.105	1.000	Co-occurrence
TET2	IDH2	50	16	10	0	<-3	0.109	1.000	Mutual exclusivity
CBL	SF3B1	71	2	2	1	>3	0.115	1.000	Co-occurrence
RUNX1	KIT	71	2	2	1	>3	0.115	1.000	Co-occurrence
ATM	t(8;21)	71	2	2	1	>3	0.115	1.000	Co-occurrence
RUNX1	chr8gain	71	2	2	1	>3	0.115	1.000	Co-occurrence
KIT	chr8gain	71	2	2	1	>3	0.115	1.000	Co-occurrence
SF3B1	inv(16)	71	2	2	1	>3	0.115	1.000	Co-occurrence
PHF6	inv(16)	71	2	2	1	>3	0.115	1.000	Co-occurrence
KIT	inv(16)	71	2	2	1	>3	0.115	1.000	Co-occurrence
FLT3	TP53	36	33	6	1	-2.459	0.122	1.000	Mutual exclusivity
NPM1	BCOR	49	25	0	2	>3	0.123	1.000	Co-occurrence
FLT3	ETV6	38	34	4	0	<-3	0.123	1.000	Mutual exclusivity
IDH2	JAK2	66	9	0	1	>3	0.132	1.000	Co-occurrence
ASXL1	TBL1XR1	65	10	0	1	>3	0.145	1.000	Co-occurrence
ASXL1	chr5qdel	65	10	0	1	>3	0.145	1.000	Co-occurrence
ASXL1	chr22gain	65	10	0	1	>3	0.145	1.000	Co-occurrence
CBL	IDH1	70	2	3	1	>3	0.152	1.000	Co-occurrence
