A	B	Neither	A Not B	B Not A	Both	Log2 Odds Ratio	p-Value	q-Value	Tendency
DNMT3A	NPM1	104	20	20	38	>3	<0.001	<0.001	Co-occurrence
chr17loss	TP53	169	0	9	4	>3	<0.001	0.020	Co-occurrence
FLT3	NPM1	89	35	23	35	1.952	<0.001	0.050	Co-occurrence
chr17loss	chr5qdel	175	1	3	3	>3	<0.001	0.050	Co-occurrence
chr5qdel	TP53	167	2	9	4	>3	<0.001	0.111	Co-occurrence
chr5loss	TP53	169	0	10	3	>3	<0.001	0.120	Co-occurrence
inv(16)	KIT	166	5	7	4	>3	<0.001	0.284	Co-occurrence
FLT3	TP53	99	70	13	0	<-3	0.002	0.607	Mutual exclusivity
IDH2	SRSF2	145	23	7	7	2.656	0.003	0.669	Co-occurrence
chr21gain	chr22gain	175	4	1	2	>3	0.003	0.669	Co-occurrence
chr17loss	EZH2	175	2	3	2	>3	0.004	0.781	Co-occurrence
IDH1	PHF6	168	7	4	3	>3	0.004	0.781	Co-occurrence
chr21gain	TP53	166	3	10	3	>3	0.005	0.805	Co-occurrence
chr5qdel	chr7qdel	174	4	2	2	>3	0.005	0.805	Co-occurrence
BIRC3	MYD88	181	0	0	1	>3	0.005	0.805	Co-occurrence
NOTCH2	U2AF2	181	0	0	1	>3	0.005	0.805	Co-occurrence
DNMT3A	SRSF2	110	58	14	0	<-3	0.006	0.805	Mutual exclusivity
CBL	TET2	144	0	35	3	>3	0.009	1.000	Co-occurrence
EZH2	SMC1A	173	3	4	2	>3	0.009	1.000	Co-occurrence
NPM1	TP53	111	58	13	0	<-3	0.010	1.000	Mutual exclusivity
CDH2	CSF3R	180	0	1	1	>3	0.011	1.000	Co-occurrence
CDKN2A	PRPF40B	180	1	0	1	>3	0.011	1.000	Co-occurrence
NPM1	PTPN11	122	52	2	6	2.815	0.014	1.000	Co-occurrence
chr22gain	TP53	168	1	11	2	>3	0.014	1.000	Co-occurrence
DNMT3A	FLT3	84	28	40	30	1.170	0.014	1.000	Co-occurrence
BRINP3	HNRNPK	179	0	2	1	>3	0.016	1.000	Co-occurrence
ASXL1	SRSF2	150	18	9	5	2.211	0.019	1.000	Co-occurrence
ASXL1	STAG2	153	19	6	4	2.424	0.025	1.000	Co-occurrence
chr7qdel	TP53	167	2	11	2	>3	0.026	1.000	Co-occurrence
POT1	ZRSR2	177	0	4	1	>3	0.027	1.000	Co-occurrence
chr22gain	chr8gain	162	1	17	2	>3	0.029	1.000	Co-occurrence
chr13gain	chr8gain	162	1	17	2	>3	0.029	1.000	Co-occurrence
chr21gain	inv(16)	169	4	7	2	>3	0.030	1.000	Co-occurrence
NPM1	TET2	104	40	20	18	1.227	0.030	1.000	Co-occurrence
chr8gain	TET2	133	11	30	8	1.689	0.032	1.000	Co-occurrence
BRAF	SETBP1	178	2	1	1	>3	0.033	1.000	Co-occurrence
chr11qdel	chr22gain	178	1	2	1	>3	0.033	1.000	Co-occurrence
chr11qdel	chr13gain	178	1	2	1	>3	0.033	1.000	Co-occurrence
CDH2	t(8;21)	176	0	5	1	>3	0.033	1.000	Co-occurrence
chr21gain	POT1	176	5	0	1	>3	0.033	1.000	Co-occurrence
BCOR	PRPF40B	175	6	0	1	>3	0.038	1.000	Co-occurrence
FBXW7	PHF6	175	0	6	1	>3	0.038	1.000	Co-occurrence
BCOR	SF1	175	6	0	1	>3	0.038	1.000	Co-occurrence
NRAS	t(11;19)	159	20	1	2	>3	0.039	1.000	Co-occurrence
EZH2	TP53	166	3	11	2	>3	0.042	1.000	Co-occurrence
KIT	t(8;21)	167	9	4	2	>3	0.044	1.000	Co-occurrence
chr22gain	chr5loss	177	2	2	1	>3	0.049	1.000	Co-occurrence
chr13gain	chr22gain	177	2	2	1	>3	0.049	1.000	Co-occurrence
inv(16)	SF1	173	8	0	1	>3	0.049	1.000	Co-occurrence
FLT3	KIT	102	69	10	1	-2.758	0.053	1.000	Mutual exclusivity
CSF3R	MYC	176	1	4	1	>3	0.054	1.000	Co-occurrence
FBXW7	IDH1	172	0	9	1	>3	0.055	1.000	Co-occurrence
BCOR	BCORL1	166	5	9	2	2.883	0.059	1.000	Co-occurrence
DNMT3A	inv(16)	115	58	9	0	<-3	0.059	1.000	Mutual exclusivity
inv(16)	NPM1	115	9	58	0	<-3	0.059	1.000	Mutual exclusivity
CDH2	KIT	171	0	10	1	>3	0.060	1.000	Co-occurrence
KIT	SF1	171	10	0	1	>3	0.060	1.000	Co-occurrence
KIT	t(16;16)	171	10	0	1	>3	0.060	1.000	Co-occurrence
FLT3	WT1	108	62	4	8	1.801	0.062	1.000	Co-occurrence
NPM1	RUNX1	112	57	12	1	-2.610	0.065	1.000	Mutual exclusivity
CBL	SF3B1	176	2	3	1	>3	0.065	1.000	Co-occurrence
chr7loss	U2AF1	176	3	2	1	>3	0.065	1.000	Co-occurrence
chr5loss	chr7loss	176	2	3	1	>3	0.065	1.000	Co-occurrence
chr7qdel	U2AF1	176	3	2	1	>3	0.065	1.000	Co-occurrence
chr7qdel	HNRNPK	176	3	2	1	>3	0.065	1.000	Co-occurrence
chr17loss	chr5loss	176	3	2	1	>3	0.065	1.000	Co-occurrence
CSF3R	t(8;21)	175	1	5	1	>3	0.065	1.000	Co-occurrence
PTEN	t(8;21)	175	1	5	1	>3	0.065	1.000	Co-occurrence
chr11qdel	chr21gain	175	1	5	1	>3	0.065	1.000	Co-occurrence
RUNX1	SRSF2	158	10	11	3	2.107	0.066	1.000	Co-occurrence
GATA2	WT1	170	0	11	1	>3	0.066	1.000	Co-occurrence
SMC1A	SRSF2	164	4	12	2	2.773	0.069	1.000	Co-occurrence
ATM	WT1	165	5	10	2	2.722	0.070	1.000	Co-occurrence
HNRNPK	IDH2	151	1	28	2	>3	0.071	1.000	Co-occurrence
BIRC3	RUNX1	169	0	12	1	>3	0.071	1.000	Co-occurrence
MYD88	RUNX1	169	0	12	1	>3	0.071	1.000	Co-occurrence
TET2	TP53	131	38	13	0	<-3	0.073	1.000	Mutual exclusivity
TET2	WT1	132	38	12	0	<-3	0.074	1.000	Mutual exclusivity
ATM	CDKN2A	174	6	1	1	>3	0.076	1.000	Co-occurrence
