"A"	"B"	"Neither"	"A.Not.B"	"B.Not.A"	"Both"	"or"	"pval"	"logor"	"nlp"	"adjp"
"DNMT3A"	"NPM1"	104	20	20	38	9.71742933571802	9.79818435020544e-11	2.27392111185961	10.0088543936689	2.43484881102605e-07
"chr17loss"	"TP53"	169	0	9	4	Inf	1.61674596070719e-05	Inf	4.79135821542477	0.0200880685617868
"FLT3"	"NPM1"	89	35	23	35	3.83821209183565	7.00892278102093e-05	1.34500665708933	4.15434872471631	0.0496582673887528
"chr17loss"	"chr5qdel"	175	1	3	3	144.029001978863	7.99328247706282e-05	4.97001468192821	4.09727483909294	0.0496582673887528
"chr5qdel"	"TP53"	167	2	9	4	34.8774967370941	0.000223262425916513	3.5518418286068	3.65118436062845	0.110961425680507
"chr5loss"	"TP53"	169	0	10	3	Inf	0.000289397526966588	Inf	3.53850518444488	0.119858809085329
"inv(16)"	"KIT"	166	5	7	4	18.130053944137	0.000800457638081439	2.89757100016978	3.09666164692305	0.284162461518911
"FLT3"	"TP53"	99	70	13	0	0	0.00195485527954029	-Inf	2.70888538845916	0.607226921207203
"IDH2"	"SRSF2"	145	23	7	7	6.20702293657329	0.00252437664181331	1.82568138269991	2.59784584702781	0.668862445105537
"chr21gain"	"chr22gain"	175	4	1	2	76.1064721623531	0.00269159937668224	4.33213330937679	2.56998958094286	0.668862445105537
"chr17loss"	"EZH2"	175	2	3	2	51.5604603204448	0.00356215489398612	3.94275510589081	2.4482871999371	0.780943476892025
"IDH1"	"PHF6"	168	7	4	3	17.18610954176	0.00377115562281863	2.84410147276575	2.42352554536239	0.780943476892025
"chr21gain"	"TP53"	166	3	10	3	15.9434771648948	0.00508947379507705	2.76904979040687	2.29332711740938	0.805073016695855
"chr5qdel"	"chr7qdel"	174	4	2	2	39.420629008095	0.00530326592859388	3.67428925816995	2.27545659493966	0.805073016695855
"BIRC3"	"MYD88"	181	0	0	1	Inf	0.00549450549450549	Inf	2.26007138798508	0.805073016695855
"NOTCH2"	"U2AF2"	181	0	0	1	Inf	0.00549450549450549	Inf	2.26007138798508	0.805073016695855
"DNMT3A"	"SRSF2"	110	58	14	0	0	0.00550754176411651	-Inf	2.25904220087596	0.805073016695855
"CBL"	"TET2"	144	0	35	3	Inf	0.00853621516604942	Inf	2.06873464650647	1
"EZH2"	"SMC1A"	173	3	4	2	26.7571656203249	0.00870723581647868	3.28680231112728	2.06011969346301	1
"NPM1"	"TP53"	111	58	13	0	0	0.01024830319639	-Inf	1.98934803445665	1
"CDH2"	"CSF3R"	180	0	1	1	Inf	0.010989010989011	Inf	1.95904139232109	1
"CDKN2A"	"PRPF40B"	180	1	0	1	Inf	0.010989010989011	Inf	1.95904139232109	1
