A	B	Neither	A Not B	B Not A	Both	Log2 Odds Ratio	p-Value	q-Value	Tendency
DNMT3A	NPM1	104	20	20	38	>3	<0.001	<0.001	Co-occurrence
TP53	chr17loss	169	9	0	4	>3	<0.001	0.020	Co-occurrence
NPM1	FLT3	89	23	35	35	1.952	<0.001	0.050	Co-occurrence
chr5qdel	chr17loss	175	3	1	3	>3	<0.001	0.050	Co-occurrence
TP53	chr5qdel	167	9	2	4	>3	<0.001	0.111	Co-occurrence
TP53	chr5loss	169	10	0	3	>3	<0.001	0.120	Co-occurrence
KIT	inv(16)	166	7	5	4	>3	<0.001	0.284	Co-occurrence
FLT3	TP53	99	70	13	0	<-3	0.002	0.607	Mutual exclusivity
IDH2	SRSF2	145	23	7	7	2.656	0.003	0.669	Co-occurrence
chr22gain	chr21gain	175	1	4	2	>3	0.003	0.669	Co-occurrence
EZH2	chr17loss	175	3	2	2	>3	0.004	0.781	Co-occurrence
IDH1	PHF6	168	7	4	3	>3	0.004	0.781	Co-occurrence
TP53	chr21gain	166	10	3	3	>3	0.005	0.805	Co-occurrence
chr5qdel	chr7qdel	174	4	2	2	>3	0.005	0.805	Co-occurrence
BIRC3	MYD88	181	0	0	1	>3	0.005	0.805	Co-occurrence
NOTCH2	U2AF2	181	0	0	1	>3	0.005	0.805	Co-occurrence
DNMT3A	SRSF2	110	58	14	0	<-3	0.006	0.805	Mutual exclusivity
TET2	CBL	144	35	0	3	>3	0.009	1.000	Co-occurrence
EZH2	SMC1A	173	3	4	2	>3	0.009	1.000	Co-occurrence
NPM1	TP53	111	58	13	0	<-3	0.010	1.000	Mutual exclusivity
CDH2	CSF3R	180	0	1	1	>3	0.011	1.000	Co-occurrence
CDKN2A	PRPF40B	180	1	0	1	>3	0.011	1.000	Co-occurrence
NPM1	PTPN11	122	52	2	6	2.815	0.014	1.000	Co-occurrence
TP53	chr22gain	168	11	1	2	>3	0.014	1.000	Co-occurrence
DNMT3A	FLT3	84	28	40	30	1.170	0.014	1.000	Co-occurrence
HNRNPK	BRINP3	179	2	0	1	>3	0.016	1.000	Co-occurrence
